"Cmpd","rt","inferred.mass","inferred.formula","C","H","N","O","P","S","C:N:P","H/C","O/C","N/C","CHO_index","NOSC","DBE","DBE-O","Annotation","Kingdon","Superclass","class","subclass","parent","pubchem.url"
"C220",240.0015,430.1486,"C19H22N6O6",19,22,6,6,0,0,"19:6:0",1.15789473684211,0.315789473684211,0.315789473684211,-0.526315789473684,0.421052631578947,12,6,"2-(1,3-dimethyl-2,6-dioxo-7-purinyl)-N'-[2-(2-ethoxyphenoxy)-1-oxoethyl]acetohydrazide","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines","https://pubchem.ncbi.nlm.nih.gov/compound/4634206"
"C221",243.18425,222.0887,"C10H14N4S",10,14,4,0,0,1,"10:4:0",1.4,0,0.4,-1.4,0,6,6,"6-(Pentylthio)-1H-purine_1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines","https://pubchem.ncbi.nlm.nih.gov/compound/79515"
"C222",243.73125,354.1302,"C15H22N4O4S",15,22,4,4,0,1,"15:4:0",1.46666666666667,0.266666666666667,0.266666666666667,-0.933333333333333,0,7,3,"2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_3",NA,NA,NA,NA,NA,NA
"C223",243.03975,468.1597,"C22H24N6O4S",22,24,6,4,0,1,"22:6:0",1.09090909090909,0.181818181818182,0.272727272727273,-0.727272727272727,0.181818181818182,14,10,"2-amino-N-(3-ethoxypropyl)-1-(4-sulfamoylphenyl)-3-pyrrolo[3,2-b]quinoxalinecarboxamide","Organic compounds","Organoheterocyclic compounds","Pyrroles","Substituted pyrroles","Phenylpyrroles","https://pubchem.ncbi.nlm.nih.gov/compound/1977834"
"C224",243.585,392.1452,"C19H24N2O5S",19,24,2,5,0,1,"19:2:0",1.26315789473684,0.263157894736842,0.105263157894737,-0.736842105263158,-0.315789473684211,9,4,"1-(3,4-dimethoxyphenyl)sulfonyl-4-(2-methoxyphenyl)piperazine_1","Organic compounds","Organoheterocyclic compounds","Diazinanes","Piperazines","Phenylpiperazines","https://pubchem.ncbi.nlm.nih.gov/compound/1201987"
"C225",243.96125,370.1236,"C17H18N6O2S",17,18,6,2,0,1,"17:6:0",1.05882352941176,0.117647058823529,0.352941176470588,-0.823529411764706,0.352941176470588,12,10,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_3",NA,NA,NA,NA,NA,NA
"C226",204.18425,270.1096,"C12H18N2O3S",12,18,2,3,0,1,"12:2:0",1.5,0.25,0.166666666666667,-1,-0.333333333333333,5,2,"Tolbutamide_3","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/5505"
"C227",204.50325,286.1047,"C11H18N4O3S",11,18,4,3,0,1,"11:4:0",1.63636363636364,0.272727272727273,0.363636363636364,-1.09090909090909,0.181818181818182,5,2,"Histidinyl-Methionine_4",NA,NA,NA,NA,NA,NA
"C228",283.30675,248.1039,"C10H12N6O2",10,12,6,2,0,0,"10:6:0",1.2,0.2,0.6,-0.8,1,8,6,"5-[(5-amino-1-tetrazolyl)iminomethyl]-2-ethoxyphenol_3","Organic compounds","Benzenoids","Phenol ethers",NA,"Phenol ethers","https://pubchem.ncbi.nlm.nih.gov/compound/937175"
"C229",286.95575,266.1521,"C12H26O4S",12,26,0,4,0,1,"12:0:0",2.16666666666667,0.333333333333333,0,-1.5,-1.33333333333333,0,-4,"dodecyl hydrogen sulfate_3","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","https://pubchem.ncbi.nlm.nih.gov/compound/8778"
"C230",284.81125,150.0679,"C5H6N6",5,6,6,0,0,0,"5:6:0",1.2,0,1.2,-1.2,2.4,6,6,"9H-purine-2,6-diamine","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines","https://pubchem.ncbi.nlm.nih.gov/compound/30976"
"C231",284.91925,398.1561,"C18H26N2O6S",18,26,2,6,0,1,"18:2:0",1.44444444444444,0.333333333333333,0.111111111111111,-0.777777777777778,-0.333333333333333,7,1,"2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_4",NA,NA,NA,NA,NA,NA
"C232",284.33775,412.1348,"C15H20N6O8",15,20,6,8,0,0,"15:6:0",1.33333333333333,0.533333333333333,0.4,-0.266666666666667,0.933333333333333,9,1,"N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine_1","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/161466"
"C233",279.9475,416.1696,"C19H28O10",19,28,0,10,0,0,"19:0:0",1.47368421052632,0.526315789473684,0,-0.421052631578947,-0.421052631578948,6,-4,"Phenylethyl primeveroside",NA,NA,NA,NA,NA,NA
"C234",279.41625,454.1833,"C18H26N6O8",18,26,6,8,0,0,"18:6:0",1.44444444444444,0.444444444444444,0.333333333333333,-0.555555555555556,0.444444444444445,9,1,"2'-deoxycytidine dimer","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses","https://pubchem.ncbi.nlm.nih.gov/compound/118987305"
"C235",275.302,298.1394,"C14H22N2O3S",14,22,2,3,0,1,"14:2:0",1.57142857142857,0.214285714285714,0.142857142857143,-1.14285714285714,-0.571428571428571,5,2,"piprozolin_1",NA,NA,NA,NA,NA,NA
"C236",275.56025,252.1346,"C10H16N6O2",10,16,6,2,0,0,"10:6:0",1.6,0.2,0.6,-1.2,0.6,6,4,"[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_3","Organic compounds","Organoheterocyclic compounds","Triazines","Aminotriazines","Aminotriazines","https://pubchem.ncbi.nlm.nih.gov/compound/6740108"
"C237",270.16625,368.1459,"C15H16N10O2",15,16,10,2,0,0,"15:10:0",1.06666666666667,0.133333333333333,0.666666666666667,-0.8,1.2,13,11,"189089_2","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/189089"
"C238",262.835,408.1409,"C16H20N6O7",16,20,6,7,0,0,"16:6:0",1.25,0.4375,0.375,-0.375,0.75,10,3,"Wybutoxine_2",NA,NA,NA,NA,NA,NA
"C239",265.94925,276.0991,"C10H16N2O7",10,16,2,7,0,0,"10:2:0",1.6,0.7,0.2,-0.2,0.4,4,-3,"Thymidine glycol",NA,NA,NA,NA,NA,NA
"C240",265.32225,426.1515,"C15H26N2O12",15,26,2,12,0,0,"15:2:0",1.73333333333333,0.8,0.133333333333333,-0.133333333333333,0.266666666666667,4,-8,"Chitobiose_3",NA,NA,NA,NA,NA,NA
"C241",253.873,260.1402,"C10H20N4O4",10,20,4,4,0,0,"10:4:0",2,0.4,0.4,-1.2,0,3,-1,"Lysyl-Asparagine_1",NA,NA,NA,NA,NA,NA
"C242",255.37225,356.1455,"C16H24N2O5S",16,24,2,5,0,1,"16:2:0",1.5,0.3125,0.125,-0.875,-0.375,6,1,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_3",NA,NA,NA,NA,NA,NA
"C243",252.61625,382.1251,"C15H28O7P2",15,28,0,7,2,0,"15:0:2",1.86666666666667,0.466666666666667,0,-0.933333333333333,-1.6,2,-5,"Farnesyl pyrophosphate_2","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","https://pubchem.ncbi.nlm.nih.gov/compound/445713"
"C244",250.6165,442.1469,"C20H22N6O4S",20,22,6,4,0,1,"20:6:0",1.1,0.2,0.3,-0.7,0.3,13,9,"N-(3-methoxyphenyl)-1-[4-(1-tetrazolyl)phenyl]sulfonyl-3-piperidinecarboxamide_2",NA,NA,NA,NA,NA,NA
"C245",334.721,118.1008,"C6H14O2",6,14,0,2,0,0,"6:0:0",2.33333333333333,0.333333333333333,0,-1.66666666666667,-1.66666666666667,0,-2,"hexane-1,6-diol","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols","https://pubchem.ncbi.nlm.nih.gov/compound/12374"
"C246",333.16325,220.1087,"C10H20O3S",10,20,0,3,0,1,"10:0:0",2,0.3,0,-1.4,-1.2,1,-2,"9-(methylsulfinyl)nonanoic acid_2",NA,NA,NA,NA,NA,NA
"C247",334.368,380.1813,"C19H28N2O4S",19,28,2,4,0,1,"19:2:0",1.47368421052632,0.210526315789474,0.105263157894737,-1.05263157894737,-0.631578947368421,7,3,"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala_1",NA,NA,NA,NA,NA,NA
"C248",330.715,368.1855,"C16H33O7P",16,33,0,7,1,0,"16:0:1",2.0625,0.4375,0,-1.1875,-1.5,0.5,-6.5,"LysoPA(a-13:0/0:0)","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates","https://pubchem.ncbi.nlm.nih.gov/compound/131821852"
"C249",335.939,243.1828,"C13H25NO3",13,25,1,3,0,0,"13:1:0",1.92307692307692,0.230769230769231,0.0769230769230769,-1.46153846153846,-1.23076923076923,2,-1,"CYCLOHEXYL-NORSTATINE",NA,NA,NA,NA,NA,NA
"C250",340.033,378.1651,"C17H22N4O6",17,22,4,6,0,0,"17:4:0",1.29411764705882,0.352941176470588,0.235294117647059,-0.588235294117647,0.117647058823529,9,3,"1,5-dihydroriboflavin",NA,NA,NA,NA,NA,NA
"C251",308.41325,244.1463,"C11H20N2O4",11,20,2,4,0,0,"11:2:0",1.81818181818182,0.363636363636364,0.181818181818182,-1.09090909090909,-0.545454545454546,3,-1,"Hydroxyprolyl-Leucine_1",NA,NA,NA,NA,NA,NA
"C252",309.5135,410.1578,"C19H26N2O6S",19,26,2,6,0,1,"19:2:0",1.36842105263158,0.315789473684211,0.105263157894737,-0.736842105263158,-0.315789473684211,8,2,"2-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-(cyclopropylmethyl)acetamide_1",NA,NA,NA,NA,NA,NA
"C253",313.49925,302.1167,"C12H18N2O7",12,18,2,7,0,0,"12:2:0",1.5,0.583333333333333,0.166666666666667,-0.333333333333333,0.166666666666667,5,-2,"3''-deamino-3''-oxonicotianamine","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/11954188"
"C254",312.91175,332.1237,"C12H20N4O5S",12,20,4,5,0,1,"12:4:0",1.66666666666667,0.416666666666667,0.333333333333333,-0.833333333333333,0.333333333333333,5,0,"hercynylcysteine sulfoxide",NA,NA,NA,NA,NA,NA
"C255",320.53425,186.0936,"C13H14O",13,14,0,1,0,0,"13:0:0",1.07692307692308,0.0769230769230769,0,-0.923076923076923,-0.923076923076923,7,6,"(all-E)-3,5,7-Tridecatriene-9,11-diyn-1-ol","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Long-chain fatty alcohols","https://pubchem.ncbi.nlm.nih.gov/compound/131752390"
"C256",320.742,340.1513,"C12H24N2O9",12,24,2,9,0,0,"12:2:0",2,0.75,0.166666666666667,-0.5,0,2,-7,"3,3'-Neotrehalosadiamine;BMY 28251_3",NA,NA,NA,NA,NA,NA
"C257",305.439,374.172,"C15H26N4O7",15,26,4,7,0,0,"15:4:0",1.73333333333333,0.466666666666667,0.266666666666667,-0.8,0,5,-2,"Ala-Leu-Asp-Gly_1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides","https://pubchem.ncbi.nlm.nih.gov/compound/71464516"
"C258",306.09625,380.1102,"C16H20N4O5S",16,20,4,5,0,1,"16:4:0",1.25,0.3125,0.25,-0.625,0.25,9,4,"N-[4-[(2,6-dimethoxy-4-pyrimidinyl)sulfamoyl]phenyl]butanamide","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/1010926"
"C259",304.63875,274.1566,"C11H22N4O4",11,22,4,4,0,0,"11:4:0",2,0.363636363636364,0.363636363636364,-1.27272727272727,-0.181818181818182,3,-1,"Lysyl-Glutamine_2",NA,NA,NA,NA,NA,NA
"C260",300.4825,402.1908,"C19H30O9",19,30,0,9,0,0,"19:0:0",1.57894736842105,0.473684210526316,0,-0.631578947368421,-0.631578947368421,5,-4,"Methyl 7-epi-12-hydroxyjasmonate glucoside",NA,NA,NA,NA,NA,NA
"C261",294.395,368.146,"C15H16N10O2",15,16,10,2,0,0,"15:10:0",1.06666666666667,0.133333333333333,0.666666666666667,-0.8,1.2,13,11,"189089_3","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/189089"
"C262",292.49925,290.1503,"C12H22N2O6",12,22,2,6,0,0,"12:2:0",1.83333333333333,0.5,0.166666666666667,-0.833333333333333,-0.333333333333333,3,-3,"Nitracidomycin B_1",NA,NA,NA,NA,NA,NA
"C263",414.32375,195.0894,"C10H13NO3",10,13,1,3,0,0,"10:1:0",1.3,0.3,0.1,-0.7,-0.4,5,2,"L-beta-Homotyrosine; LC-ESI-QTOF; MS2; CE","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/5706680"
"C264",391.8735,252.1025,"C13H16O5",13,16,0,5,0,0,"13:0:0",1.23076923076923,0.384615384615385,0,-0.461538461538462,-0.461538461538462,6,1,"Methyl 3,4,5-trimethoxycinnamate","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/735846"
"C265",364.24475,596.137,"C20H25N10O10P",20,25,10,10,1,0,"20:10:1",1.25,0.5,0.5,-0.25,1,13.5,3.5,"A2'p5'A","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates","https://pubchem.ncbi.nlm.nih.gov/compound/102238"
"C266",557.04925,624.3514,"C33H52O11",33,52,0,11,0,0,"33:0:0",1.57575757575758,0.333333333333333,0,-0.909090909090909,-0.909090909090909,8,-3,"Simplexin E;(+)-Simplexin E",NA,NA,NA,NA,NA,NA
"C267",550.9835,312.1754,"C16H20N6O",16,20,6,1,0,0,"16:6:0",1.25,0.0625,0.375,-1.125,0,10,9,"tofacitinib_1","Organic compounds","Organoheterocyclic compounds","Piperidines","N-acylpiperidines","N-acylpiperidines","https://pubchem.ncbi.nlm.nih.gov/compound/9926791"
"C268",604.552,341.21,"C18H31NO3S",18,31,1,3,0,1,"18:1:0",1.72222222222222,0.166666666666667,0.0555555555555556,-1.38888888888889,-1.11111111111111,4,1,"S-12-hydroxyfarnesyl-L-cysteine","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","https://pubchem.ncbi.nlm.nih.gov/compound/53356665"
"C269",620.18825,354.222,"C17H30N4O4",17,30,4,4,0,0,"17:4:0",1.76470588235294,0.235294117647059,0.235294117647059,-1.29411764705882,-0.588235294117647,5,1,"1-[(2R,3S,6S)-2-(hydroxymethyl)-6-[2-(4-methyl-1-piperazinyl)-2-oxoethyl]-3,6-dihydro-2H-pyran-3-yl]-3-propylurea",NA,NA,NA,NA,NA,NA
"C270",781.188333333333,117.9351,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 117.9351",NA,NA,NA,NA,NA,NA
"C271",1060.689,190.9275,"C4H2NO2PS2",4,2,1,2,1,2,"4:1:1",0.5,0.5,0.25,0.5,1,4.5,2.5,"C4H2NO2PS2_3",NA,NA,NA,NA,NA,NA
"C272",932.528666666667,113.9918,"C3H2N2OS",3,2,2,1,0,1,"3:2:0",0.666666666666667,0.333333333333333,0.666666666666667,0,2.66666666666667,4,3,"C3H2N2OS_6",NA,NA,NA,NA,NA,NA
"C273",937.292666666667,113.9918,"C3H2N2OS",3,2,2,1,0,1,"3:2:0",0.666666666666667,0.333333333333333,0.666666666666667,0,2.66666666666667,4,3,"C3H2N2OS_7",NA,NA,NA,NA,NA,NA
"C274",928.266,145.9301,"C4H2S3",4,2,0,0,0,3,"4:0:0",0.5,0,0,-0.5,1,4,4,"C4H2S3_4",NA,NA,NA,NA,NA,NA
"C275",948.597666666667,145.9298,"C4H2S3",4,2,0,0,0,3,"4:0:0",0.5,0,0,-0.5,1,4,4,"C4H2S3_5",NA,NA,NA,NA,NA,NA
"C276",946.521666666667,317.954,"C6H11N2O5PS3",6,11,2,5,1,3,"6:2:1",1.83333333333333,0.833333333333333,0.333333333333333,-0.166666666666667,1,2.5,-2.5,"C6H11N2O5PS3_1",NA,NA,NA,NA,NA,NA
"C277",952.483,212.0112,"C5H9O7P",5,9,0,7,1,0,"5:0:1",1.8,1.4,0,1,0,1.5,-5.5,"3-hydroxy-2,4-dioxopentyl phosphate(2-)",NA,NA,NA,NA,NA,NA
"C278",958.512,212.0112,"C5H9O7P",5,9,0,7,1,0,"5:0:1",1.8,1.4,0,1,0,1.5,-5.5,"phosphinomethylisomalate(3-)",NA,NA,NA,NA,NA,NA
"C279",982.815,181.9804,"C4H7O4PS",4,7,0,4,1,1,"4:0:1",1.75,1,0,0.25,-0.5,1.5,-2.5,"C4H7O4PS",NA,NA,NA,NA,NA,NA
"C280",979.574,317.9546,"C6H11N2O5PS3",6,11,2,5,1,3,"6:2:1",1.83333333333333,0.833333333333333,0.333333333333333,-0.166666666666667,1,2.5,-2.5,"C6H11N2O5PS3_2",NA,NA,NA,NA,NA,NA
"C281",997.094333333333,249.9671,"C3H11N2O3PS3",3,11,2,3,1,3,"3:2:1",3.66666666666667,1,0.666666666666667,-1.66666666666667,0.666666666666667,-0.5,-3.5,"C3H11N2O3PS3",NA,NA,NA,NA,NA,NA
"C282",868.880666666667,145.9298,"C4H2S3",4,2,0,0,0,3,"4:0:0",0.5,0,0,-0.5,1,4,4,"C4H2S3_6",NA,NA,NA,NA,NA,NA
"C283",862.178333333333,145.93,"C4H2S3",4,2,0,0,0,3,"4:0:0",0.5,0,0,-0.5,1,4,4,"C4H2S3_7",NA,NA,NA,NA,NA,NA
"C284",895.026,113.9919,"C3H2N2OS",3,2,2,1,0,1,"3:2:0",0.666666666666667,0.333333333333333,0.666666666666667,0,2.66666666666667,4,3,"C3H2N2OS_8",NA,NA,NA,NA,NA,NA
"C285",887.706666666667,101.9397,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 101.9397_1",NA,NA,NA,NA,NA,NA
"C286",665.663666666667,472.2737,"C28H40O6",28,40,0,6,0,0,"28:0:0",1.42857142857143,0.214285714285714,0,-1,-1,9,3,"Macrocarpal B",NA,NA,NA,NA,NA,NA
"C287",13.7096666666667,145.9299,"C4H2S3",4,2,0,0,0,3,"4:0:0",0.5,0,0,-0.5,1,4,4,"C4H2S3_8",NA,NA,NA,NA,NA,NA
"C288",31.8216666666667,129.9573,"C4H2OS2",4,2,0,1,0,2,"4:0:0",0.5,0.25,0,0,1,4,3,"C4H2OS2_2",NA,NA,NA,NA,NA,NA
"C289",18.749,94.0129,"C2H7O2P",2,7,0,2,1,0,"2:0:1",3.5,1,0,-1.5,-4,-0.5,-2.5,"dimethylphosphinic acid","Organic compounds","Organophosphorus compounds",NA,NA,"Organophosphorus compounds","https://pubchem.ncbi.nlm.nih.gov/compound/76777"
"C290",59.019,288.7531,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 288.7531",NA,NA,NA,NA,NA,NA
"C291",63.5306666666667,198.8145,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 198.8145_2",NA,NA,NA,NA,NA,NA
"C292",51.1763333333333,414.6566,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 414.6566",NA,NA,NA,NA,NA,NA
"C293",46.3386666666667,198.8146,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 198.8146",NA,NA,NA,NA,NA,NA
"C294",150.815666666667,97.9661,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 97.9661",NA,NA,NA,NA,NA,NA
"C295",141.64,190.9271,"C4H2NO2PS2",4,2,1,2,1,2,"4:1:1",0.5,0.5,0.25,0.5,1,4.5,2.5,"C4H2NO2PS2_4",NA,NA,NA,NA,NA,NA
"C296",209.443,196.11,"C11H16O3",11,16,0,3,0,0,"11:0:0",1.45454545454545,0.272727272727273,0,-0.909090909090909,-0.909090909090909,4,1,"(-)-Loliolide;Loliolide_1",NA,NA,NA,NA,NA,NA
"C297",210.500666666667,342.1277,"C14H22N4O4S",14,22,4,4,0,1,"14:4:0",1.57142857142857,0.285714285714286,0.285714285714286,-1,0,6,2,"TAMe_1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acid esters","https://pubchem.ncbi.nlm.nih.gov/compound/1550286"
"C298",207.911333333333,192.0777,"C10H12N2S",10,12,2,0,0,1,"10:2:0",1.2,0,0.2,-1.2,-0.4,6,6,"6-propan-2-yl-1,3-benzothiazol-2-amine","Organic compounds","Organoheterocyclic compounds","Benzothiazoles",NA,"Benzothiazoles","https://pubchem.ncbi.nlm.nih.gov/compound/600983"
"C299",211.527,180.1133,"C11H16O2",11,16,0,2,0,0,"11:0:0",1.45454545454545,0.181818181818182,0,-1.09090909090909,-1.09090909090909,4,2,"Jasmolone_2",NA,NA,NA,NA,NA,NA
"C300",211.82,344.1096,"C12H24O9S",12,24,0,9,0,1,"12:0:0",2,0.75,0,-0.5,-0.333333333333333,1,-8,"Polyhydroxylated cyclic sulfoxide_1",NA,NA,NA,NA,NA,NA
"C301",212.226,358.1252,"C16H22O9",16,22,0,9,0,0,"16:0:0",1.375,0.5625,0,-0.25,-0.25,6,-3,"10-Deoxygeniposidic acid_1",NA,NA,NA,NA,NA,NA
"C302",216.663666666667,124.0523,"C7H8O2",7,8,0,2,0,0,"7:0:0",1.14285714285714,0.285714285714286,0,-0.571428571428571,-0.571428571428571,4,2,"Guaiacol","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","https://pubchem.ncbi.nlm.nih.gov/compound/460"
"C303",216.606,286.1052,"C11H18N4O3S",11,18,4,3,0,1,"11:4:0",1.63636363636364,0.272727272727273,0.363636363636364,-1.09090909090909,0.181818181818182,5,2,"Methionyl-Histidine_2",NA,NA,NA,NA,NA,NA
"C304",216.107333333333,396.1406,"C19H20N6O2S",19,20,6,2,0,1,"19:6:0",1.05263157894737,0.105263157894737,0.315789473684211,-0.842105263157895,0.210526315789474,13,11,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_3","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1078044"
"C305",220.783333333333,182.0939,"C10H14O3",10,14,0,3,0,0,"10:0:0",1.4,0.3,0,-0.8,-0.8,4,1,"Peperinic acid_1",NA,NA,NA,NA,NA,NA
"C306",220.795,224.1044,"C12H16O4",12,16,0,4,0,0,"12:0:0",1.33333333333333,0.333333333333333,0,-0.666666666666667,-0.666666666666667,5,1,"Diplosporin",NA,NA,NA,NA,NA,NA
"C307",219.446666666667,244.0941,"C10H16N2O3S",10,16,2,3,0,1,"10:2:0",1.6,0.3,0.2,-1,-0.2,4,1,"Biotin_1","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/171548"
"C308",220.698,412.136,"C15H20N6O8",15,20,6,8,0,0,"15:6:0",1.33333333333333,0.533333333333333,0.4,-0.266666666666667,0.933333333333333,9,1,"N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine_2","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/161466"
"C309",217.251333333333,208.1086,"C12H16O3",12,16,0,3,0,0,"12:0:0",1.33333333333333,0.25,0,-0.833333333333333,-0.833333333333333,5,2,"Elemicin_1","Organic compounds","Benzenoids","Phenol ethers","Anisoles","Anisoles","https://pubchem.ncbi.nlm.nih.gov/compound/10248"
"C310",217.818333333333,222.0889,"C10H14N4S",10,14,4,0,0,1,"10:4:0",1.4,0,0.4,-1.4,0,6,6,"6-(Pentylthio)-1H-purine_2","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines","https://pubchem.ncbi.nlm.nih.gov/compound/79515"
"C311",217.542333333333,196.1091,"C11H16O3",11,16,0,3,0,0,"11:0:0",1.45454545454545,0.272727272727273,0,-0.909090909090909,-0.909090909090909,4,1,"(-)-Loliolide;Loliolide_2",NA,NA,NA,NA,NA,NA
"C312",227.223666666667,196.1091,"C11H16O3",11,16,0,3,0,0,"11:0:0",1.45454545454545,0.272727272727273,0,-0.909090909090909,-0.909090909090909,4,1,"(-)-Loliolide;Loliolide_3",NA,NA,NA,NA,NA,NA
"C313",227.902333333333,302.1342,"C14H22O7",14,22,0,7,0,0,"14:0:0",1.57142857142857,0.5,0,-0.571428571428571,-0.571428571428571,4,-3,"Garcinia lactone dibutyl ester_2",NA,NA,NA,NA,NA,NA
"C314",223.574,254.1146,"C12H18N2O2S",12,18,2,2,0,1,"12:2:0",1.5,0.166666666666667,0.166666666666667,-1.16666666666667,-0.5,5,3,"Thiamylal_3","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/5436"
"C315",223.287,316.1151,"C13H20N2O5S",13,20,2,5,0,1,"13:2:0",1.53846153846154,0.384615384615385,0.153846153846154,-0.769230769230769,-0.153846153846154,5,0,"N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID_2","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/448002"
"C316",222.685333333333,360.1815,"C17H28O8",17,28,0,8,0,0,"17:0:0",1.64705882352941,0.470588235294118,0,-0.705882352941177,-0.705882352941177,4,-4,"1-O-(8R-hydroxy-8-methyl-3Z,9-decadienoyl)-beta-D-glucopyranose",NA,NA,NA,NA,NA,NA
"C317",222.418,286.105,"C11H18N4O3S",11,18,4,3,0,1,"11:4:0",1.63636363636364,0.272727272727273,0.363636363636364,-1.09090909090909,0.181818181818182,5,2,"Histidinyl-Methionine_5",NA,NA,NA,NA,NA,NA
"C318",221.659,264.1,"C11H20O5S",11,20,0,5,0,1,"11:0:0",1.81818181818182,0.454545454545455,0,-0.909090909090909,-0.727272727272728,2,-3,"2-(6'-Methylthio)hexylmalic acid_1",NA,NA,NA,NA,NA,NA
