"cmpd","rt","annotation","ann.confidence","median.signal","inferred.M","inferred.formula","inchikey","inchi","pubchem.url","synonyms","inchikey.1","kingdom","superclass","class","subclass","parent","description"
"C229",286.95575,"dodecyl hydrogen sulfate_3","2",543.655126370847,266.1521,"C12H26O4S","MOTZDAYCYVMXPC-UHFFFAOYSA-N","InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/8778","NA","MOTZDAYCYVMXPC-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","This compound belongs to the class of organic compounds known as sulfuric acid monoesters. These are organic compounds containing the sulfuric acid monoester functional group, with the generic structure ROS(O)(=O)=O, (R=organyl group)."
"C230",284.81125,"9H-purine-2,6-diamine","2",152.769285254836,150.0679,"C5H6N6","MSSXOMSJDRHRMC-UHFFFAOYSA-N","InChI=1S/C5H6N6/c6-3-2-4(9-1-8-2)11-5(7)10-3/h1H,(H5,6,7,8,9,10,11)","https://pubchem.ncbi.nlm.nih.gov/compound/30976","NA","MSSXOMSJDRHRMC-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines","This compound belongs to the class of organic compounds known as 6-aminopurines. These are purines that carry an amino group at position 6. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring."
"C231",284.91925,"2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_4","2",6041.89951698296,398.1561,"C18H26N2O6S","XIBRYEMUGCVBEH-JOAPWWBENA-N",NA,NA,"NA","XIBRYEMUGCVBEH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C232",284.33775,"N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine_1","2",5145.99357629358,412.1348,"C15H20N6O8","UNUYMBPXEFMLNW-DWVDDHQFSA-N","InChI=1S/C15H20N6O8/c1-5(23)7(14(26)27)19-15(28)20-11-8-12(17-3-16-11)21(4-18-8)13-10(25)9(24)6(2-22)29-13/h3-7,9-10,13,22-25H,2H2,1H3,(H,26,27)(H2,16,17,19,20,28)/t5-,6-,7+,9-,10-,13-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/161466","NA","UNUYMBPXEFMLNW-DWVDDHQFSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C233",279.9475,"Phenylethyl primeveroside","2",3039.64631905763,416.1696,"C19H28O10","ZRGXCWYRIBRSQA-UHFFFAOYNA-N",NA,NA,"NA","ZRGXCWYRIBRSQA-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C234",279.41625,"2'-deoxycytidine dimer","2",2871.01039131077,454.1833,"C18H26N6O8","SCOCRPYCYQGLCE-FKZCKFKWSA-N","InChI=1S/C18H26N6O8/c19-15-11-12-14(13(11)23(17(29)21-15)9-1-5(27)7(3-25)31-9)24(18(30)22-16(12)20)10-2-6(28)8(4-26)32-10/h5-14,25-28H,1-4H2,(H2,19,21,29)(H2,20,22,30)/t5-,6-,7+,8+,9+,10+,11?,12?,13?,14?/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/118987305","NA","SCOCRPYCYQGLCE-FKZCKFKWSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses","This compound belongs to the class of organic compounds known as pentoses. These are monosaccharides in which the carbohydrate moiety contains five carbon atoms."
"C235",275.302,"piprozolin_1","2",1462.46684421283,298.1394,"C14H22N2O3S","UAXYBJSAPFTPNB-UHFFFAOYNA-N",NA,NA,"NA","UAXYBJSAPFTPNB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C236",275.56025,"[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_3","2",3208.78870629831,252.1346,"C10H16N6O2","SOJJZPCMPKPGFJ-UHFFFAOYSA-N","InChI=1S/C10H16N6O2/c1-18-10-13-8(7(11)15-17)12-9(14-10)16-5-3-2-4-6-16/h2-6,11H2,1H3,(H,12,13,14)","https://pubchem.ncbi.nlm.nih.gov/compound/6740108","NA","SOJJZPCMPKPGFJ-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Triazines","Aminotriazines","Aminotriazines","This compound belongs to the class of organic compounds known as aminotriazines. These are organic compounds containing an amino group attached to a triazine ring."
"C237",270.16625,"189089_2","2",4732.57719318811,368.1459,"C15H16N10O2","YQZKTYLJVUNTLT-UHFFFAOYSA-N","InChI=1S/C15H16N10O2/c1-4-7-5(2-18-10-8(20-7)12(26)23-14(16)21-10)6-3-19-11-9(25(4)6)13(27)24-15(17)22-11/h5-6H,2-3H2,1H3,(H3,16,18,21,23,26)(H4,17,19,22,24,27)","https://pubchem.ncbi.nlm.nih.gov/compound/189089","NA","YQZKTYLJVUNTLT-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","This compound belongs to the class of organic compounds known as pterins and derivatives. These are polycyclic aromatic compounds containing a pterin moiety, which consist of a pteridine ring bearing a ketone and an amine group to form 2-aminopteridin-4(3H)-one."
"C238",262.835,"Wybutoxine_2","2",4577.38950590156,408.1409,"C16H20N6O7","FRYWGCQTDZARGT-UHFFFAOYNA-N",NA,NA,"NA","FRYWGCQTDZARGT-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C239",265.94925,"Thymidine glycol","2",803.293679164492,276.0991,"C10H16N2O7","RKEITGVZZHXKON-ZSHDHZJENA-N",NA,NA,"NA","RKEITGVZZHXKON-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C240",265.32225,"Chitobiose_3","2",4366.45602814959,426.1515,"C15H26N2O12","HSRZMOSQMYFZBL-ZCPMBPKRNA-N",NA,NA,"NA","HSRZMOSQMYFZBL-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C241",253.873,"Lysyl-Asparagine_1","2",2885.51173258876,260.1402,"C10H20N4O4","JPNRPAJITHRXRH-UHFFFAOYNA-N",NA,NA,"NA","JPNRPAJITHRXRH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C242",255.37225,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_3","2",5070.46522409908,356.1455,"C16H24N2O5S","XITZEOXYAYTYOD-FJBXCPOZNA-N",NA,NA,"NA","XITZEOXYAYTYOD-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C243",252.61625,"Farnesyl pyrophosphate_2","2",4736.29421986454,382.1251,"C15H28O7P2","VWFJDQUYCIWHTN-YFVJMOTDSA-N","InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11+","https://pubchem.ncbi.nlm.nih.gov/compound/445713","NA","VWFJDQUYCIWHTN-YFVJMOTDSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","This compound belongs to the class of organic compounds known as sesquiterpenoids. These are terpenes with three consecutive isoprene units."
"C244",250.6165,"N-(3-methoxyphenyl)-1-[4-(1-tetrazolyl)phenyl]sulfonyl-3-piperidinecarboxamide_2","2",3907.65497568532,442.1469,"C20H22N6O4S","MXXDERMISKKKKI-UHFFFAOYNA-N",NA,NA,"NA","MXXDERMISKKKKI-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C245",334.721,"hexane-1,6-diol","2",329.19560250329,118.1008,"C6H14O2","XXMIOPMDWAUFGU-UHFFFAOYSA-N","InChI=1S/C6H14O2/c7-5-3-1-2-4-6-8/h7-8H,1-6H2","https://pubchem.ncbi.nlm.nih.gov/compound/12374","NA","XXMIOPMDWAUFGU-UHFFFAOYSA-N","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols","This compound belongs to the class of organic compounds known as fatty alcohols. These are aliphatic alcohols consisting of a chain of a least six carbon atoms."
"C246",333.16325,"9-(methylsulfinyl)nonanoic acid_2","2",101.595097333856,220.1087,"C10H20O3S","XZYIQKMSOAQJCG-UHFFFAOYNA-N",NA,NA,"NA","XZYIQKMSOAQJCG-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C247",334.368,"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala_1","2",1978.6985580799,380.1813,"C19H28N2O4S","GOIYKVXXGCPHQU-HLRBPWBTNA-N",NA,NA,"NA","GOIYKVXXGCPHQU-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C248",330.715,"LysoPA(a-13:0/0:0)","2",1387.42839076906,368.1855,"C16H33O7P","JKRXHZXDGVADEJ-UHFFFAOYSA-N","InChI=1S/C16H33O7P/c1-3-14(2)10-8-6-4-5-7-9-11-16(18)22-12-15(17)13-23-24(19,20)21/h14-15,17H,3-13H2,1-2H3,(H2,19,20,21)","https://pubchem.ncbi.nlm.nih.gov/compound/131821852","NA","JKRXHZXDGVADEJ-UHFFFAOYSA-N","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates","This compound belongs to the class of organic compounds known as 1-acylglycerol-3-phosphates. These are lysophosphatidic acids where the glycerol is esterified with a fatty acid at O-1 position."
"C249",335.939,"CYCLOHEXYL-NORSTATINE","2",1271.66366784341,243.1828,"C13H25NO3","GSYSEQUYQXPNHH-WEUYFXHZNA-N",NA,NA,"NA","GSYSEQUYQXPNHH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C250",340.033,"1,5-dihydroriboflavin","2",2113.11356359453,378.1651,"C17H22N4O6","SGSVWAYHEWEQET-QTZZOOGMNA-N",NA,NA,"NA","SGSVWAYHEWEQET-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C251",308.41325,"Hydroxyprolyl-Leucine_1","2",201.243222186736,244.1463,"C11H20N2O4","LQFJGLSIESIIOM-UHFFFAOYNA-N",NA,NA,"NA","LQFJGLSIESIIOM-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C252",309.5135,"2-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-(cyclopropylmethyl)acetamide_1","2",3964.59160817579,410.1578,"C19H26N2O6S","YSCGDHRCRJHNHR-WEINJZQMNA-N",NA,NA,"NA","YSCGDHRCRJHNHR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C253",313.49925,"3''-deamino-3''-oxonicotianamine","2",381.751382672034,302.1167,"C12H18N2O7","PSBHIGYNXQIUQY-YUMQZZPRSA-N","InChI=1S/C12H18N2O7/c15-9(12(20)21)1-4-13-7(10(16)17)2-5-14-6-3-8(14)11(18)19/h7-8,13H,1-6H2,(H,16,17)(H,18,19)(H,20,21)/t7-,8-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/11954188","NA","PSBHIGYNXQIUQY-YUMQZZPRSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives","This compound belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom."
"C254",312.91175,"hercynylcysteine sulfoxide","2",1189.54102505698,332.1237,"C12H20N4O5S","CSTNDZVKJNPMIG-FKAJHFAONA-N",NA,NA,"NA","CSTNDZVKJNPMIG-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C255",320.53425,"(all-E)-3,5,7-Tridecatriene-9,11-diyn-1-ol","2",147.229863746801,186.0936,"C13H14O","CNMWTIVSNRLOLQ-ZUHOWUEJSA-N","InChI=1S/C13H14O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h6-11,14H,12-13H2,1H3/b7-6-,9-8-,11-10+","https://pubchem.ncbi.nlm.nih.gov/compound/131752390","NA","CNMWTIVSNRLOLQ-ZUHOWUEJSA-N","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Long-chain fatty alcohols","This compound belongs to the class of organic compounds known as long-chain fatty alcohols. These are fatty alcohols that have an aliphatic tail of 13 to 21 carbon atoms."
"C256",320.742,"3,3'-Neotrehalosadiamine;BMY 28251_3","2",2293.76356981333,340.1513,"C12H24N2O9","ZPEFXARQZVAHGO-OBCHOJLFNA-N",NA,NA,"NA","ZPEFXARQZVAHGO-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C257",305.439,"Ala-Leu-Asp-Gly_1","2",1040.13605945298,374.172,"C15H26N4O7","DCUCOIYYUBILPS-GUBZILKMSA-N","InChI=1S/C15H26N4O7/c1-7(2)4-9(18-13(24)8(3)16)15(26)19-10(5-11(20)21)14(25)17-6-12(22)23/h7-10H,4-6,16H2,1-3H3,(H,17,25)(H,18,24)(H,19,26)(H,20,21)(H,22,23)/t8-,9-,10-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/71464516","NA","DCUCOIYYUBILPS-GUBZILKMSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides","This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds."
"C258",306.09625,"N-[4-[(2,6-dimethoxy-4-pyrimidinyl)sulfamoyl]phenyl]butanamide","2",7255.03671670865,380.1102,"C16H20N4O5S","ZPBKBNZIECGLRQ-UHFFFAOYSA-N","InChI=1S/C16H20N4O5S/c1-4-5-14(21)17-11-6-8-12(9-7-11)26(22,23)20-13-10-15(24-2)19-16(18-13)25-3/h6-10H,4-5H2,1-3H3,(H,17,21)(H,18,19,20)","https://pubchem.ncbi.nlm.nih.gov/compound/1010926","NA","ZPBKBNZIECGLRQ-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring."
"C259",304.63875,"Lysyl-Glutamine_2","2",392.334803414611,274.1566,"C11H22N4O4","OAPNERBWQWUPTI-UHFFFAOYNA-N",NA,NA,"NA","OAPNERBWQWUPTI-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C260",300.4825,"Methyl 7-epi-12-hydroxyjasmonate glucoside","2",2444.91368513645,402.1908,"C19H30O9","AJWIFVNLXHFTFD-NSCUHMNNNA-N",NA,NA,"NA","AJWIFVNLXHFTFD-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C261",294.395,"189089_3","2",4346.56947665995,368.146,"C15H16N10O2","YQZKTYLJVUNTLT-UHFFFAOYSA-N","InChI=1S/C15H16N10O2/c1-4-7-5(2-18-10-8(20-7)12(26)23-14(16)21-10)6-3-19-11-9(25(4)6)13(27)24-15(17)22-11/h5-6H,2-3H2,1H3,(H3,16,18,21,23,26)(H4,17,19,22,24,27)","https://pubchem.ncbi.nlm.nih.gov/compound/189089","NA","YQZKTYLJVUNTLT-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","This compound belongs to the class of organic compounds known as pterins and derivatives. These are polycyclic aromatic compounds containing a pterin moiety, which consist of a pteridine ring bearing a ketone and an amine group to form 2-aminopteridin-4(3H)-one."
"C262",292.49925,"Nitracidomycin B_1","2",588.297962549124,290.1503,"C12H22N2O6","KQZPUTFJOHDSFS-MKMNVTDBNA-N",NA,NA,"NA","KQZPUTFJOHDSFS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C263",414.32375,"L-beta-Homotyrosine; LC-ESI-QTOF; MS2; CE","2",939.021088153526,195.0894,"C10H13NO3","VUNPIAMEJXBAFP-MRVPVSSYSA-N","InChI=1S/C10H13NO3/c11-8(6-10(13)14)5-7-1-3-9(12)4-2-7/h1-4,8,12H,5-6,11H2,(H,13,14)/t8-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/5706680","NA","VUNPIAMEJXBAFP-MRVPVSSYSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives","This compound belongs to the class of organic compounds known as beta amino acids and derivatives. These are amino acids having a (-NH2) group attached to the beta carbon atom."
"C264",391.8735,"Methyl 3,4,5-trimethoxycinnamate","2",5231.34147638107,252.1025,"C13H16O5","KLXHCGFNNUQTEY-AATRIKPKSA-N","InChI=1S/C13H16O5/c1-15-10-7-9(5-6-12(14)17-3)8-11(16-2)13(10)18-4/h5-8H,1-4H3/b6-5+","https://pubchem.ncbi.nlm.nih.gov/compound/735846","NA","KLXHCGFNNUQTEY-AATRIKPKSA-N","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives","This compound belongs to the class of organic compounds known as coumaric acids and derivatives. These are aromatic compounds containing Aromatic compounds containing a cinnamic acid moiety (or a derivative thereof) hydroxylated at the C2 (ortho-), C3 (meta-), or C4 (para-) carbon atom of the benzene ring."
"C265",364.24475,"A2'p5'A","2",660.7823580415,596.137,"C20H25N10O10P","CJUIKAWANGRMQE-XPWFQUROSA-N","InChI=1S/C20H25N10O10P/c21-15-9-17(25-3-23-15)29(5-27-9)19-13(34)11(32)8(39-19)2-37-41(35,36)40-14-12(33)7(1-31)38-20(14)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-34H,1-2H2,(H,35,36)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11-,12-,13-,14-,19-,20-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/102238","NA","CJUIKAWANGRMQE-XPWFQUROSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates","This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached."
"C266",557.04925,"Simplexin E;(+)-Simplexin E","2",3730.02417036487,624.3514,"C33H52O11","IAZCISKNKJSEDU-OPDSGCMPNA-N",NA,NA,"NA","IAZCISKNKJSEDU-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C267",550.9835,"tofacitinib_1","2",12180.072314469,312.1754,"C16H20N6O","UJLAWZDWDVHWOW-YPMHNXCESA-N","InChI=1S/C16H20N6O/c1-11-5-8-22(14(23)3-6-17)9-13(11)21(2)16-12-4-7-18-15(12)19-10-20-16/h4,7,10-11,13H,3,5,8-9H2,1-2H3,(H,18,19,20)/t11-,13+/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/9926791","NA","UJLAWZDWDVHWOW-YPMHNXCESA-N","Organic compounds","Organoheterocyclic compounds","Piperidines","N-acylpiperidines","N-acylpiperidines","This compound belongs to the class of organic compounds known as n-acylpiperidines. These are compounds containing an N-acyethanolamine moiety, which is characterized by an acyl group is linked to the nitrogen atom of a piperidine."
"C268",604.552,"S-12-hydroxyfarnesyl-L-cysteine","2",4586.41569818343,341.21,"C18H31NO3S","BFUAGAALIMPCLW-IJXSMPQSSA-N","InChI=1S/C18H31NO3S/c1-14(7-5-9-16(3)12-20)6-4-8-15(2)10-11-23-13-17(19)18(21)22/h6,9-10,17,20H,4-5,7-8,11-13,19H2,1-3H3,(H,21,22)/b14-6+,15-10+,16-9-/t17-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/53356665","NA","BFUAGAALIMPCLW-IJXSMPQSSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","This compound belongs to the class of organic compounds known as sesquiterpenoids. These are terpenes with three consecutive isoprene units."
"C269",620.18825,"1-[(2R,3S,6S)-2-(hydroxymethyl)-6-[2-(4-methyl-1-piperazinyl)-2-oxoethyl]-3,6-dihydro-2H-pyran-3-yl]-3-propylurea","2",503.992009447055,354.222,"C17H30N4O4","AVCGIXMUPLIHTE-CKNGHHRPNA-N",NA,NA,"NA","AVCGIXMUPLIHTE-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C270",781.188333333333,"M = 117.9351","",1470.38269909363,117.9351,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C271",1060.689,"C4H2NO2PS2_3","3",1721.74937114951,190.9275,"C4H2NO2PS2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C272",932.528666666667,"C3H2N2OS_6","3",5106.22349800045,113.9918,"C3H2N2OS",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C273",937.292666666667,"C3H2N2OS_7","3",5137.50182410047,113.9918,"C3H2N2OS",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C274",928.266,"C4H2S3_4","3",2828.32447632414,145.9301,"C4H2S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C275",948.597666666667,"C4H2S3_5","3",767.261008578503,145.9298,"C4H2S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C276",946.521666666667,"C6H11N2O5PS3_1","3",730.239287508855,317.954,"C6H11N2O5PS3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C277",952.483,"3-hydroxy-2,4-dioxopentyl phosphate(2-)","2",1784.03902477175,212.0112,"C5H9O7P","AKHNGSPNHAFBII-UHFFFAOYNA-L",NA,NA,"NA","AKHNGSPNHAFBII-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C278",958.512,"phosphinomethylisomalate(3-)","2",1915.69841302062,212.0112,"C5H9O7P","RZQCPFXISXNJHP-UHFFFAOYNA-K",NA,NA,"NA","RZQCPFXISXNJHP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C279",982.815,"C4H7O4PS","3",619.085591745085,181.9804,"C4H7O4PS",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C280",979.574,"C6H11N2O5PS3_2","3",816.965862736338,317.9546,"C6H11N2O5PS3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C281",997.094333333333,"C3H11N2O3PS3","3",1119.89514341867,249.9671,"C3H11N2O3PS3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C282",868.880666666667,"C4H2S3_6","3",4399.3848163359,145.9298,"C4H2S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C283",862.178333333333,"C4H2S3_7","3",3521.90807359684,145.93,"C4H2S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C284",895.026,"C3H2N2OS_8","3",4900.61641386553,113.9919,"C3H2N2OS",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C285",887.706666666667,"M = 101.9397_1","",3586.83906268458,101.9397,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C286",665.663666666667,"Macrocarpal B","2",6201.73126100104,472.2737,"C28H40O6","IBLPTYJTKWQCDX-UHFFFAOYNA-N",NA,NA,"NA","IBLPTYJTKWQCDX-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C287",13.7096666666667,"C4H2S3_8","3",1466.67457001654,145.9299,"C4H2S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C288",31.8216666666667,"C4H2OS2_2","3",10146.4822825989,129.9573,"C4H2OS2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C289",18.749,"dimethylphosphinic acid","2",1056.90348253271,94.0129,"C2H7O2P","GOJNABIZVJCYFL-UHFFFAOYSA-N","InChI=1S/C2H7O2P/c1-5(2,3)4/h1-2H3,(H,3,4)","https://pubchem.ncbi.nlm.nih.gov/compound/76777","NA","GOJNABIZVJCYFL-UHFFFAOYSA-N","Organic compounds","Organophosphorus compounds",NA,NA,"Organophosphorus compounds","This compound belongs to the class of organic compounds known as organophosphorus compounds. These are organic compounds containing the phosphorus atom."
"C290",59.019,"M = 288.7531","",841.151085422298,288.7531,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C291",63.5306666666667,"M = 198.8145_2","",2634.450394497,198.8145,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C292",51.1763333333333,"M = 414.6566","",551.908011434565,414.6566,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C293",46.3386666666667,"M = 198.8146","",21179.991314502,198.8146,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C294",150.815666666667,"M = 97.9661","",1014.9414380267,97.9661,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C295",141.64,"C4H2NO2PS2_4","3",3894.93837371705,190.9271,"C4H2NO2PS2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C296",209.443,"(-)-Loliolide;Loliolide_1","2",1813.18605735442,196.11,"C11H16O3","XEVQXKKKAVVSMW-SMLPMWDWNA-N",NA,NA,"NA","XEVQXKKKAVVSMW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C297",210.500666666667,"TAMe_1","2",4161.65590988161,342.1277,"C14H22N4O4S","FKMJXALNHKIDOD-LBPRGKRZSA-N","InChI=1S/C14H22N4O4S/c1-10-5-7-11(8-6-10)23(20,21)18-12(13(19)22-2)4-3-9-17-14(15)16/h5-8,12,18H,3-4,9H2,1-2H3,(H4,15,16,17)/t12-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/1550286","NA","FKMJXALNHKIDOD-LBPRGKRZSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acid esters","This compound belongs to the class of organic compounds known as alpha amino acid esters. These are ester derivatives of alpha amino acids."
"C298",207.911333333333,"6-propan-2-yl-1,3-benzothiazol-2-amine","2",215.713315380917,192.0777,"C10H12N2S","JKQDAIVDZXQKCT-UHFFFAOYSA-N","InChI=1S/C10H12N2S/c1-6(2)7-3-4-8-9(5-7)13-10(11)12-8/h3-6H,1-2H3,(H2,11,12)","https://pubchem.ncbi.nlm.nih.gov/compound/600983","NA","JKQDAIVDZXQKCT-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Benzothiazoles",NA,"Benzothiazoles","This compound belongs to the class of organic compounds known as benzothiazoles. These are organic compounds containing a benzene fused to a thiazole ring (a five-membered ring with four carbon atoms, one nitrogen atom and one sulfur atom)."
"C299",211.527,"Jasmolone_2","2",175.151476198418,180.1133,"C11H16O2","SVRKACAGHUZSGU-SNAWJCMRNA-N",NA,NA,"NA","SVRKACAGHUZSGU-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C300",211.82,"Polyhydroxylated cyclic sulfoxide_1","2",2827.43767447639,344.1096,"C12H24O9S","ZCFDZGVJJBUOOF-UHFFFAOYNA-N",NA,NA,"NA","ZCFDZGVJJBUOOF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
