Cmpd	rt	inferred.mass	inferred.formula	C	H	N	O	P	S	C.N.P	H.C	O.C	N.C	CHO_index	NOSC	DBE	DBE.O	Annotation	Kingdon	Superclass	class	subclass	parent	pubchem.url	DIM1	DIM2
C408	331.469	396.1762	C17H34O6P2	17	34	0	6	2	0	17:0:2	2	0.352941176470588	0	-1.29411764705882	-1.88235294117647	1	-5	(6E,11E)-HEPTADECA-6,11-DIENE-9,9-DIYLBIS(PHOSPHONIC ACID)	Organic compounds	Organic acids and derivatives	Organic phosphonic acids and derivatives	Bisphosphonates	Bisphosphonates	https://pubchem.ncbi.nlm.nih.gov/compound/25023881	-0.236363636363636	-0.563636363636364
C418	324.224333333333	368.1458	C15H16N10O2	15	16	10	2	0	0	15:10:0	1.06666666666667	0.133333333333333	0.666666666666667	-0.8	1.2	13	11	189089_5	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Pterins and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/189089	-0.806060606060606	0.284848484848485
C424	319.277333333333	554.1004	C17H32O16P2	17	32	0	16	2	0	17:0:2	1.88235294117647	0.941176470588235	0	0	-0.588235294117647	2	-14	1,2-dibutyryl-sn-glycero-3-phospho-(1'D-myo-inositol-5'-phosphate)(3-)	NA	NA	NA	NA	NA	NA	0.522232967867094	0.522232967867094
C437	293.748333333333	328.1506	C15H24N2O4S	15	24	2	4	0	1	15:2:0	1.6	0.266666666666667	0.133333333333333	-1.06666666666667	-0.533333333333333	5	1	Tiapride_3	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	Benzenesulfonyl compounds	https://pubchem.ncbi.nlm.nih.gov/compound/5467	-0.415199436886146	0.354649519006916
C441	292.015333333333	342.1299	C14H22N4O4S	14	22	4	4	0	1	14:4:0	1.57142857142857	0.285714285714286	0.285714285714286	-1	0	6	2	TAMe_2	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acid esters	https://pubchem.ncbi.nlm.nih.gov/compound/1550286	-0.187878787878788	0.345454545454545
C447	395.647333333333	252.1356	C10H16N6O2	10	16	6	2	0	0	10:6:0	1.6	0.2	0.6	-1.2	0.6	6	4	[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_4	Organic compounds	Organoheterocyclic compounds	Triazines	Aminotriazines	Aminotriazines	https://pubchem.ncbi.nlm.nih.gov/compound/6740108	-0.415199436886146	0.354649519006916
C450	353.534666666667	348.1919	C20H28O5	20	28	0	5	0	0	20:0:0	1.4	0.25	0	-0.9	-0.9	7	2	Gibberellin A53	NA	NA	NA	NA	NA	NA	0.76969696969697	-0.539393939393939
C454	373.772666666667	594.1726	C27H30O15	27	30	0	15	0	0	27:0:0	1.11111111111111	0.555555555555556	0	0	0	13	-2	Biorobin	NA	NA	NA	NA	NA	NA	-0.333333333333333	0.539393939393939
C455	573.585	326.191	C14H30O8	14	30	0	8	0	0	14:0:0	2.14285714285714	0.571428571428571	0	-1	-1	0	-8	Heptaethylene glycol	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	Polyethylene glycols	https://pubchem.ncbi.nlm.nih.gov/compound/79718	-0.903030303030303	0.0424242424242424
C457	563.240666666667	625.3545	C28H47N7O9	28	47	7	9	0	0	28:7:0	1.67857142857143	0.321428571428571	0.25	-1.03571428571429	-0.285714285714286	9	0	Boc-DON-Gln-Ile-Val-OMe	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	https://pubchem.ncbi.nlm.nih.gov/compound/136273333	-0.85282493560439	-0.251552678847338
C496	69.26	208.8435	0	0	0	0	0	0	0	0:0:0	NA	NA	NA	NA	NA	1	1	M = 208.8435	NA	NA	NA	NA	NA	NA	-0.75380287416328	0.115502053299212
C498	60.2285	111.982	C4O4	4	0	0	4	0	0	4:0:0	0	1	0	2	2	5	1	C4O4	NA	NA	NA	NA	NA	NA	-0.525256535563807	0.725354263397638
C514	214.4765	356.1098	C16H20O9	16	20	0	9	0	0	16:0:0	1.25	0.5625	0	-0.125	-0.125	7	-2	Gentiopicrin;Gentiopicroside	NA	NA	NA	NA	NA	NA	0.2526318345396	0.696444516838897
C517	216.1495	238.0837	C12H14O5	12	14	0	5	0	0	12:0:0	1.16666666666667	0.416666666666667	0	-0.333333333333333	-0.333333333333333	6	1	3,4,5-Trimethoxycinnamic acid	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/735755	0.612121212121212	0.272727272727273
C519	219.84	320.1261	C12H20N2O8	12	20	2	8	0	0	12:2:0	1.66666666666667	0.666666666666667	0.166666666666667	-0.333333333333333	0.166666666666667	4	-4	Isomugineic acid_1	NA	NA	NA	NA	NA	NA	0.168832457859795	0.40644850966247
C525	226.724	340.1154	C15H20N2O5S	15	20	2	5	0	1	15:2:0	1.33333333333333	0.333333333333333	0.133333333333333	-0.666666666666667	-0.133333333333334	7	2	4-[[(1-methylsulfonyl-4-piperidinyl)-oxomethyl]amino]benzoic acid methyl ester_3	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Acylaminobenzoic acid and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/646245	0.345454545454545	0.721212121212121
C526	226.262	285.1283	C12H19N3O5	12	19	3	5	0	0	12:3:0	1.58333333333333	0.416666666666667	0.25	-0.75	0	5	0	Glycylprolylhydroxyproline	NA	NA	NA	NA	NA	NA	0.636363636363636	-0.103030303030303
C529	223.047	324.1204	C12H16N6O5	12	16	6	5	0	0	12:6:0	1.33333333333333	0.416666666666667	0.5	-0.5	1	8	3	alpha-N-(9-beta-D-ribofuranosylpurin-6-yl)glycinamide_2	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/72715784	0.757575757575757	0.0424242424242424
C539	225.31	294.1098	C10H18N2O8	10	18	2	8	0	0	10:2:0	1.8	0.8	0.2	-0.2	0.4	3	-5	Distichonic acid B	NA	NA	NA	NA	NA	NA	0.793939393939394	0.103030303030303
C551	231.5215	340.1515	C12H24N2O9	12	24	2	9	0	0	12:2:0	2	0.75	0.166666666666667	-0.5	0	2	-7	Fortimicin FU-10	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminocyclitol glycosides	https://pubchem.ncbi.nlm.nih.gov/compound/46174014	0.43030303030303	0.515151515151515
C553	234.7945	272.1242	C12H20N2O3S	12	20	2	3	0	1	12:2:0	1.66666666666667	0.25	0.166666666666667	-1.16666666666667	-0.5	4	1	Sotalol_1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Sulfanilides	Sulfanilides	https://pubchem.ncbi.nlm.nih.gov/compound/5253	0.381818181818182	0.127272727272727
C557	235.141	322.141	C12H22N2O8	12	22	2	8	0	0	12:2:0	1.83333333333333	0.666666666666667	0.166666666666667	-0.5	0	3	-5	Avenic acid A_1	NA	NA	NA	NA	NA	NA	0.600854092959049	0.484780006819233
C566	236.5475	280.0942	C10H12N6O4	10	12	6	4	0	0	10:6:0	1.2	0.4	0.6	-0.4	1.4	8	4	adenosine 5'-carboxamide_2	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/25244925	0.389059547955241	0.437691991449646
C574	238.227	338.1351	C16H22N2O4S	16	22	2	4	0	1	16:2:0	1.375	0.25	0.125	-0.875	-0.375	7	3	6,7-diethoxy-3-(3-methoxypropyl)-2-sulfanylidene-1H-quinazolin-4-one	Organic compounds	Organoheterocyclic compounds	Diazanaphthalenes	Benzodiazines	Quinazolines	https://pubchem.ncbi.nlm.nih.gov/compound/3242750	0.333333333333333	-0.842424242424242
C580	239.9255	592.1713	C21H36O19	21	36	0	19	0	0	21:0:0	1.71428571428571	0.904761904761905	0	0.0952380952380952	0.0952380952380953	4	-15	alpha-KDN-(2->3)-beta-D-Galp-(1->4)-D-Glcp	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides	https://pubchem.ncbi.nlm.nih.gov/compound/70680303	0.640043101996884	0.471950974199722
C587	246.2275	262.1191	C10H18N2O6	10	18	2	6	0	0	10:2:0	1.8	0.6	0.2	-0.6	0	3	-3	Nopalinic acid_2	NA	NA	NA	NA	NA	NA	0.2	0.466666666666667
C589	242.4695	270.1098	C12H18N2O3S	12	18	2	3	0	1	12:2:0	1.5	0.25	0.166666666666667	-1	-0.333333333333333	5	2	Tolbutamide_4	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	Benzenesulfonamides	https://pubchem.ncbi.nlm.nih.gov/compound/5505	0.563636363636364	0.296969696969697
C591	242.194	272.125	C12H20N2O3S	12	20	2	3	0	1	12:2:0	1.66666666666667	0.25	0.166666666666667	-1.16666666666667	-0.5	4	1	Sotalol_2	Organic compounds	Benzenoids	Benzene and substituted derivatives	Sulfanilides	Sulfanilides	https://pubchem.ncbi.nlm.nih.gov/compound/5253	0.103343942425611	0.121581108736013
C597	242.883	310.1044	C12H22O7S	12	22	0	7	0	1	12:0:0	1.83333333333333	0.583333333333333	0	-0.666666666666667	-0.5	2	-5	1,2-diisobutoxycarbonylethanesulfonic acid_3	NA	NA	NA	NA	NA	NA	-0.0303030303030303	0.478787878787879
C605	243.135	260.14	C11H20N2O5	11	20	2	5	0	0	11:2:0	1.81818181818182	0.454545454545455	0.181818181818182	-0.909090909090909	-0.363636363636363	3	-2	gamma-Glutamylisoleucine_1	NA	NA	NA	NA	NA	NA	0.522232967867094	0.522232967867094
C606	243.828	260.1029	C10H16N2O6	10	16	2	6	0	0	10:2:0	1.6	0.6	0.2	-0.4	0.2	4	-2	Oxypinnatanine	NA	NA	NA	NA	NA	NA	0.0500244319584578	0.831656181309361
C608	204.393	384.1412	C13H24N2O11	13	24	2	11	0	0	13:2:0	1.84615384615385	0.846153846153846	0.153846153846154	-0.153846153846154	0.307692307692307	3	-8	Macrozamin_4	NA	NA	NA	NA	NA	NA	0.709090909090909	-0.187878787878788
C610	169.3615	272.0886	C10H16N4O3S	10	16	4	3	0	1	10:4:0	1.6	0.3	0.4	-1	0.4	5	2	1-(4,6-dimethoxy-2-pyrimidinyl)-3-(2-methoxyethyl)thiourea	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	Alkyl aryl ethers	https://pubchem.ncbi.nlm.nih.gov/compound/1955478	0.612121212121212	0.36969696969697
C611	173.1335	286.1041	C11H18N4O3S	11	18	4	3	0	1	11:4:0	1.63636363636364	0.272727272727273	0.363636363636364	-1.09090909090909	0.181818181818182	5	2	Triazamat MII (CL 900056)	Organic compounds	Organosulfur compounds	Thioethers	Aryl thioethers	Aryl thioethers	https://pubchem.ncbi.nlm.nih.gov/compound/14299898	0.454545454545455	0.6
C612	180.6405	314.0998	C13H18N2O5S	13	18	2	5	0	1	13:2:0	1.38461538461538	0.384615384615385	0.153846153846154	-0.615384615384615	0	6	1	Antibiotic 17927A1;Antibiotic 890A1;Antibiotic MM 22380;Antibiotic PS 3A;Epithienamycin A;MM 22380_2	NA	NA	NA	NA	NA	NA	0.233549683248457	0.700649049745371
C614	183.621	260.0898	C10H16N2O4S	10	16	2	4	0	1	10:2:0	1.6	0.4	0.2	-0.8	0	4	0	biotinate sulfoxide(1-)	Organic compounds	Organoheterocyclic compounds	Biotin and derivatives	NA	Biotin and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/25244087	0.333333333333333	0.672727272727273
C627	284.064	344.1434	C15H24N2O5S	15	24	2	5	0	1	15:2:0	1.6	0.333333333333333	0.133333333333333	-0.933333333333333	-0.4	5	0	N-[(2R,3R,6R)-6-(2-aminoethyl)-2-(hydroxymethyl)oxan-3-yl]-3-methoxybenzenesulfonamide_1	NA	NA	NA	NA	NA	NA	-0.29081003317658	0.45485671855824
C651	285.0905	216.1156	C10H12N6	10	12	6	0	0	0	10:6:0	1.2	0	0.6	-1.2	0.6	8	8	ethylenediaminetetraacetonitrile_2	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Trialkylamines	https://pubchem.ncbi.nlm.nih.gov/compound/21984	0.126763347794919	0.812776759390954
C652	280.856	352.151	C14H20N6O5	14	20	6	5	0	0	14:6:0	1.42857142857143	0.357142857142857	0.428571428571429	-0.714285714285714	0.571428571428572	8	3	9-[6(RS)-C-carboxamido-5,6,7-trideoxy-beta-D-ribo-octofuranosyl]-9H-purin-6-amine_2	NA	NA	NA	NA	NA	NA	0.587878787878788	-0.6
C664	278.1755	370.1596	C14H22N6O6	14	22	6	6	0	0	14:6:0	1.57142857142857	0.428571428571429	0.428571428571429	-0.714285714285714	0.571428571428572	7	1	FR 900490_2	NA	NA	NA	NA	NA	NA	-0.17069718549973	0.150213523239762
C680	275.8545	330.1297	C13H22N4O4S	13	22	4	4	0	1	13:4:0	1.69230769230769	0.307692307692308	0.307692307692308	-1.07692307692308	0	5	1	ranitidine N-oxide_3	Organic compounds	Organoheterocyclic compounds	Heteroaromatic compounds	NA	Heteroaromatic compounds	https://pubchem.ncbi.nlm.nih.gov/compound/62985	-0.481485157600156	0.275134375771518
C692	271.535	234.1242	C14H18O3	14	18	0	3	0	0	14:0:0	1.28571428571429	0.214285714285714	0	-0.857142857142857	-0.857142857142857	6	3	Dehydrooreadone_1	NA	NA	NA	NA	NA	NA	-0.381818181818182	0.357575757575757
C697	272.362	328.1518	C15H24N2O4S	15	24	2	4	0	1	15:2:0	1.6	0.266666666666667	0.133333333333333	-1.06666666666667	-0.533333333333333	5	1	Tiapride_4	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	Benzenesulfonyl compounds	https://pubchem.ncbi.nlm.nih.gov/compound/5467	-0.415199436886146	0.354649519006916
C702	271.102	298.1404	C14H22N2O3S	14	22	2	3	0	1	14:2:0	1.57142857142857	0.214285714285714	0.142857142857143	-1.14285714285714	-0.571428571428571	5	2	piprozolin_6	NA	NA	NA	NA	NA	NA	0.696969696969697	-0.2
C704	271.7275	382.1618	C14H26N2O10	14	26	2	10	0	0	14:2:0	1.85714285714286	0.714285714285714	0.142857142857143	-0.428571428571429	0	3	-7	beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine_2	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Acylaminosugars	https://pubchem.ncbi.nlm.nih.gov/compound/10156719	0.333333333333333	0.660606060606061
C712	263.9365	298.1407	C14H22N2O3S	14	22	2	3	0	1	14:2:0	1.57142857142857	0.214285714285714	0.142857142857143	-1.14285714285714	-0.571428571428571	5	2	piprozolin_7	NA	NA	NA	NA	NA	NA	0.575757575757576	-0.2
C718	263.408	244.1111	C10H16N2O5	10	16	2	5	0	0	10:2:0	1.6	0.5	0.2	-0.6	0	4	-1	(2S,4S)-Pinnatanine	NA	NA	NA	NA	NA	NA	0.0223700025520446	0.797863424356258
C726	261.9905	438.1525	C19H26N4O4S2	19	26	4	4	0	2	19:4:0	1.36842105263158	0.210526315789474	0.210526315789474	-0.947368421052632	-0.105263157894737	9	5	4-[1-oxo-6-(4-oxo-2-sulfanylidene-1H-thieno[3,2-d]pyrimidin-3-yl)hexyl]-1-piperazinecarboxylic acid ethyl ester	Organic compounds	Organoheterocyclic compounds	Thienopyrimidines	NA	Thienopyrimidines	https://pubchem.ncbi.nlm.nih.gov/compound/3670171	0.537762643553421	0.0250122159792289
C737	261.254	384.1408	C13H24N2O11	13	24	2	11	0	0	13:2:0	1.84615384615385	0.846153846153846	0.153846153846154	-0.153846153846154	0.307692307692307	3	-8	Macrozamin_5	NA	NA	NA	NA	NA	NA	-0.322189938150434	0.407296714265643
C743	265.6125	308.1251	C11H20N2O8	11	20	2	8	0	0	11:2:0	1.81818181818182	0.727272727272727	0.181818181818182	-0.363636363636364	0.181818181818182	3	-5	O-(N-acetyl-alpha-D-galactosaminyl)-L-serine_4	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glycosyl-amino acids	https://pubchem.ncbi.nlm.nih.gov/compound/447272	-0.0181818181818182	-0.963636363636364
C746	265.5575	364.1505	C14H24N2O9	14	24	2	9	0	0	14:2:0	1.71428571428571	0.642857142857143	0.142857142857143	-0.428571428571429	0	4	-5	N-Acetylmuramoyl-Ala_3	NA	NA	NA	NA	NA	NA	0.772040040473682	-0.462008213196849
C747	265.855	354.1308	C15H22N4O4S	15	22	4	4	0	1	15:4:0	1.46666666666667	0.266666666666667	0.266666666666667	-0.933333333333333	0	7	3	2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_8	NA	NA	NA	NA	NA	NA	0.490909090909091	0.696969696969697
C751	268.326	350.1357	C13H22N2O9	13	22	2	9	0	0	13:2:0	1.69230769230769	0.692307692307692	0.153846153846154	-0.307692307692308	0.153846153846154	4	-5	9-deoxy-9-acetamido-N-acetyl-alpha-neuraminic acid_2	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	C-glucuronides	https://pubchem.ncbi.nlm.nih.gov/compound/70678620	-0.636363636363636	-0.163636363636364
C753	268.378	342.1305	C14H22N4O4S	14	22	4	4	0	1	14:4:0	1.57142857142857	0.285714285714286	0.285714285714286	-1	0	6	2	TAMe_4	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acid esters	https://pubchem.ncbi.nlm.nih.gov/compound/1550286	-0.36969696969697	0.721212121212121
C777	256.3795	406.1623	C19H26N4O4S	19	26	4	4	0	1	19:4:0	1.36842105263158	0.210526315789474	0.210526315789474	-0.947368421052632	-0.210526315789473	9	5	4-[(2,6-dimethyl-4-morpholinyl)sulfonyl]-N-[3-(1-imidazolyl)propyl]benzamide_2	NA	NA	NA	NA	NA	NA	0.709090909090909	-0.151515151515151
C787	254.9345	220.0723	C10H12N4S	10	12	4	0	0	1	10:4:0	1.2	0	0.4	-1.2	0.2	7	7	9-cyclopentyl-3H-purine-6-thione_3	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purinethiones	https://pubchem.ncbi.nlm.nih.gov/compound/95124	0.36969696969697	0.478787878787879
C788	253.6335	298.1408	C14H22N2O3S	14	22	2	3	0	1	14:2:0	1.57142857142857	0.214285714285714	0.142857142857143	-1.14285714285714	-0.571428571428571	5	2	piprozolin_8	NA	NA	NA	NA	NA	NA	0.478787878787879	0.515151515151515
C789	253.135	344.1422	C15H24N2O5S	15	24	2	5	0	1	15:2:0	1.6	0.333333333333333	0.133333333333333	-0.933333333333333	-0.4	5	0	N-[(2R,3R,6R)-6-(2-aminoethyl)-2-(hydroxymethyl)oxan-3-yl]-3-methoxybenzenesulfonamide_2	NA	NA	NA	NA	NA	NA	-0.214740091698947	-0.496969926503278
C803	250.971	396.1414	C19H20N6O2S	19	20	6	2	0	1	19:6:0	1.05263157894737	0.105263157894737	0.315789473684211	-0.842105263157895	0.210526315789474	13	11	N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_9	Organic compounds	Organoheterocyclic compounds	Azoles	Tetrazoles	Phenyltetrazoles and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/1078044	0.6	-0.43030303030303
C822	249.1965	364.1514	C14H24N2O9	14	24	2	9	0	0	14:2:0	1.71428571428571	0.642857142857143	0.142857142857143	-0.428571428571429	0	4	-5	N-Acetylmuramoyl-Ala_5	NA	NA	NA	NA	NA	NA	0.612121212121212	-0.43030303030303
C824	250.53	178.0984	C11H14O2	11	14	0	2	0	0	11:0:0	1.27272727272727	0.181818181818182	0	-0.909090909090909	-0.909090909090909	5	3	Methyleugenol_1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Methoxybenzenes	Dimethoxybenzenes	https://pubchem.ncbi.nlm.nih.gov/compound/7127	0.151515151515151	0.878787878787879
C831	342.3675	266.15	C12H26O4S	12	26	0	4	0	1	12:0:0	2.16666666666667	0.333333333333333	0	-1.5	-1.33333333333333	0	-4	dodecyl hydrogen sulfate_4	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Sulfuric acid esters	Sulfuric acid monoesters	https://pubchem.ncbi.nlm.nih.gov/compound/8778	0.622799155329218	0.467099366496914
C835	329.824	334.1769	C14H26N2O7	14	26	2	7	0	0	14:2:0	1.85714285714286	0.5	0.142857142857143	-0.857142857142857	-0.428571428571429	3	-4	Dihydroactinospectacin; Dihydrospectinomycin_1	NA	NA	NA	NA	NA	NA	0.709090909090909	-0.624242424242424
C842	336.952	334.1784	C14H26N2O7	14	26	2	7	0	0	14:2:0	1.85714285714286	0.5	0.142857142857143	-0.857142857142857	-0.428571428571429	3	-4	Dihydroactinospectacin; Dihydrospectinomycin_2	NA	NA	NA	NA	NA	NA	0.83030303030303	-0.00606060606060606
C851	323.465	204.1142	C10H20O2S	10	20	0	2	0	1	10:0:0	2	0.2	0	-1.6	-1.4	1	-1	Hexyl 3-mercaptobutanoate_3	NA	NA	NA	NA	NA	NA	-0.139393939393939	0.684848484848485
C882	311.1455	316.1648	C13H24N4O3S	13	24	4	3	0	1	13:4:0	1.84615384615385	0.230769230769231	0.307692307692308	-1.38461538461538	-0.307692307692307	4	1	Timolol_3	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Dialkylarylamines	https://pubchem.ncbi.nlm.nih.gov/compound/5478	0.699091375232074	0.0121581108736013
C898	318.87	230.1295	C10H18N2O4	10	18	2	4	0	0	10:2:0	1.8	0.4	0.2	-1	-0.4	3	-1	Hydroxyprolyl-Valine_1	NA	NA	NA	NA	NA	NA	0.490909090909091	0.575757575757576
C900	304.981	340.1508	C12H24N2O9	12	24	2	9	0	0	12:2:0	2	0.75	0.166666666666667	-0.5	0	2	-7	3,3'-Neotrehalosadiamine;BMY 28251_7	NA	NA	NA	NA	NA	NA	-0.00625305399480722	-0.162579403864988
C908	303.217	356.1446	C16H24N2O5S	16	24	2	5	0	1	16:2:0	1.5	0.3125	0.125	-0.875	-0.375	6	1	2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_7	NA	NA	NA	NA	NA	NA	-0.365376708350062	0.305723368211276
C909	302.587	354.1674	C14H22N6O5	14	22	6	5	0	0	14:6:0	1.57142857142857	0.357142857142857	0.428571428571429	-0.857142857142857	0.428571428571428	7	2	Valganciclovir_3	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acid esters	https://pubchem.ncbi.nlm.nih.gov/compound/64147	0.333333333333333	0.248484848484848
C912	304.8185	334.1403	C12H22N4O7	12	22	4	7	0	0	12:4:0	1.83333333333333	0.583333333333333	0.333333333333333	-0.666666666666667	0.333333333333333	4	-3	2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid_6	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	C-glucuronides	https://pubchem.ncbi.nlm.nih.gov/compound/46936668	0.284848484848485	-0.284848484848485
C925	297.6635	404.1819	C16H28N4O8	16	28	4	8	0	0	16:4:0	1.75	0.5	0.25	-0.75	0	5	-3	alcaligin	NA	NA	NA	NA	NA	NA	0.890909090909091	-0.175757575757576
C939	296.714	244.1461	C11H20N2O4	11	20	2	4	0	0	11:2:0	1.81818181818182	0.363636363636364	0.181818181818182	-1.09090909090909	-0.545454545454546	3	-1	Hydroxyprolyl-Leucine_4	NA	NA	NA	NA	NA	NA	-0.139393939393939	0.357575757575757
C944	295.667	366.167	C16H30O7S	16	30	0	7	0	1	16:0:0	1.875	0.4375	0	-1	-0.875	2	-5	1,4-bis(1,3-dimethylbutyl) sulfosuccinic acid_7	NA	NA	NA	NA	NA	NA	0.709090909090909	-0.393939393939394
C949	293.869	396.1406	C19H20N6O2S	19	20	6	2	0	1	19:6:0	1.05263157894737	0.105263157894737	0.315789473684211	-0.842105263157895	0.210526315789474	13	11	N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_10	Organic compounds	Organoheterocyclic compounds	Azoles	Tetrazoles	Phenyltetrazoles and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/1078044	-0.725354263397638	0.175085511854602
C961	292.5635	282.1103	C10H14N6O4	10	14	6	4	0	0	10:6:0	1.4	0.4	0.6	-0.6	1.2	7	3	2-Aminoadenosine_5	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/72200	0.757575757575757	0.248484848484848
C973	290.4255	420.1776	C16H28N4O9	16	28	4	9	0	0	16:4:0	1.75	0.5625	0.25	-0.625	0.125	5	-4	schizokinen_3	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	https://pubchem.ncbi.nlm.nih.gov/compound/3082425	0.781818181818182	-0.309090909090909
C981	423.2105	432.1907	C17H28N4O9	17	28	4	9	0	0	17:4:0	1.64705882352941	0.529411764705882	0.235294117647059	-0.588235294117647	0.117647058823529	6	-3	Ala-Leu-Asp-Asp	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides	https://pubchem.ncbi.nlm.nih.gov/compound/71464650	-0.251552678847338	-0.44788647697209
C984	398.5135	466.2278	C21H38O11	21	38	0	11	0	0	21:0:0	1.80952380952381	0.523809523809524	0	-0.761904761904762	-0.761904761904762	3	-8	glas#10	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	https://pubchem.ncbi.nlm.nih.gov/compound/86289876	-0.793939393939394	0.236363636363636
C986	364.8695	616.2448	C32H40O12	32	40	0	12	0	0	32:0:0	1.25	0.375	0	-0.5	-0.5	13	1	7-Acetyl-11beta-acetoxydihydronomilin	NA	NA	NA	NA	NA	NA	-0.580370430699081	0.184352960339708
C989	361.2865	334.1763	C14H26N2O7	14	26	2	7	0	0	14:2:0	1.85714285714286	0.5	0.142857142857143	-0.857142857142857	-0.428571428571429	3	-4	Dihydroactinospectacin; Dihydrospectinomycin_3	NA	NA	NA	NA	NA	NA	0.684848484848485	-0.721212121212121
C995	359.2055	224.1407	C12H20N2S	12	20	2	0	0	1	12:2:0	1.66666666666667	0	0.166666666666667	-1.66666666666667	-1	4	4	2,3,5-Trimethyl-6-[4-(methylthio)butyl]pyrazine	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrazines	Pyrazines	https://pubchem.ncbi.nlm.nih.gov/compound/71328884	-0.415199436886146	0.354649519006916
C1007	554.602	354.2068	C16H34O6S	16	34	0	6	0	1	16:0:0	2.125	0.375	0	-1.375	-1.25	0	-6	sodium 2-(2-dodecyloxyethoxy)ethyl sulphate	Organic compounds	Organic acids and derivatives	Organic sulfuric acids and derivatives	Sulfuric acid esters	Sulfuric acid monoesters	https://pubchem.ncbi.nlm.nih.gov/compound/18336	0.272727272727273	-0.878787878787879
C1009	559.3825	315.1765	C15H25NO6	15	25	1	6	0	0	15:1:0	1.66666666666667	0.4	0.0666666666666667	-0.866666666666667	-0.666666666666667	4	-2	(2E)-7-carboxyhept-2-enoylcarnitine	NA	NA	NA	NA	NA	NA	-0.621337755219016	-0.416501132619341
