cmpd,rt,annotation,ann.confidence,median.signal,inferred.M,inferred.formula,inchikey,inchi,hmdb.url,lm.url,pubchem.url,chebi.url,synonyms,inchikey.1,kingdom,superclass,class,subclass,parent,description
C1151,376.9741429,C16H31N32O9P,3,916.5881032,846.2688,C16H31N32O9P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1152,373.538,Allanxanthone C,2,3296.314392,464.2194,C28H32O6,QEJCXVUCARKGSY-UHFFFAOYSA-N,"InChI=1S/C28H32O6/c1-15(2)7-8-18-19(29)13-21-23(25(18)31)26(32)24-22(34-21)14-20(30)27(33)28(24,11-9-16(3)4)12-10-17(5)6/h7,9-10,13-14,29-31H,8,11-12H2,1-6H3",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65387,KNApSAcK=C00033629 __ ChEBI=CHEBI:65387 __ UNPD=UNPD67503,QEJCXVUCARKGSY-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Xanthones,This compound belongs to the class of organic compounds known as xanthones. These are polycyclic aromatic compounds containing a xanthene moiety conjugated to a ketone group at carbon 9. Xanthene is a tricyclic compound made up of two benzene rings linearly fused to each other through a pyran ring.
C1153,374.8034286,Obacunone,2,3148.398925,454.2004,C26H30O7,MAYJEFRPIKEYBL-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0035858,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7713,HMDB=HMDB0035858 __ KNApSAcK=C00003723 __ ChEBI=CHEBI:7713 __ FooDB=FDB014637 __ UNPD=UNPD34609;UNPD8108;UNPD85296,MAYJEFRPIKEYBL-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1154,374.3527143,2''-Adenylylgentamicin A,2,1382.266155,797.3012,C28H48N9O16P,VNYFJZQRMVOPNW-SWPLHRKISA-N,"InChI=1S/C28H48N9O16P/c1-33-14-10(39)4-47-28(52-22-9(30)2-8(29)21(20(22)44)51-27-13(31)18(42)16(40)11(3-38)50-27)23(14)53-54(45,46)48-5-12-17(41)19(43)26(49-12)37-7-36-15-24(32)34-6-35-25(15)37/h6-14,16-23,26-28,33,38-44H,2-5,29-31H2,1H3,(H,45,46)(H2,32,34,35)/t8-,9+,10+,11+,12+,13+,14-,16+,17+,18+,19+,20-,21+,22-,23+,26+,27+,28+/m0/s1",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:81533,"2''-Adenylylgentamicin A __ [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl [(2R,3R,4S,5S)-2-[(1S,2S,3R,4S,6R)-4,6-diamino-3-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-hydroxy-4-(methylamino)oxan-3-yl] hydrogen phosphate __ [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-2-oxolanyl]methyl [(2R,3R,4S,5S)-2-[(1S,2S,3R,4S,6R)-4,6-diamino-3-[[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-2-hydroxycyclohexyl]oxy-5-hydroxy-4-(methylamino)-3-oxanyl] hydrogen phosphate __ [(2R,3S,4R,5R)-5-adenin-9-yl-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [(2R,3R,4S,5S)-2-[(1S,2S,3R,4S,6R)-4,6-diamino-3-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-methylol-tetrahydropyran-2-yl]oxy-2-hydroxy-cyclohexoxy]-5-hydroxy-4-(methylamino)tetrahydropyran-3-yl] hydrogen phosphate __ [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl [(2R,3R,4S,5S)-2-[(1S,2S,3R,4S,6R)-4,6-bis(azanyl)-3-[(2S,3R,4R,5S,6R)-3-azanyl-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-yl]oxy-2-oxidanyl-cyclohexyl]oxy-4-(methylamino)-5-oxidanyl-oxan-3-yl] hydrogen phosphate __ [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [(2R,3R,4S,5S)-2-[(1S,2S,3R,4S,6R)-4,6-diamino-3-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-2-hydroxy-cyclohexoxy]-5-hydroxy-4-(methylamino)tetrahydropyran-3-yl] hydrogen phosphate",VNYFJZQRMVOPNW-SWPLHRKISA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside monophosphates,This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached.
C1155,374.9185714,orbiculin I,2,1546.907273,610.2054,C32H34O12,TUOQDKWZMVPMKF-VHVOXLCJNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66830,ChEBI=CHEBI:66830 __ UNPD=UNPD2785,TUOQDKWZMVPMKF-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1156,372.7268571,UNPD139404__2,2,1321.63898,814.2547,C36H50N2O13S3,DCORYDOQLSBIOI-WWMKXJJXNA-K,NA,NA,NA,NA,NA,UNPD=UNPD139404,DCORYDOQLSBIOI-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1157,382.1201429,Mucronine  B,2,2387.00732,492.2748,C28H36N4O4,HBLUGHSSFJXCOA-QYLZUMIYNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7013,KNApSAcK=C00002005 __ ChEBI=CHEBI:7013 __ UNPD=UNPD161708;UNPD96650;UNPD224244,HBLUGHSSFJXCOA-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1158,379.9688571,swietenialide E,2,1391.681031,850.317,C41H54O19,OSZKLCHRZDFWDF-YUASBYGJSA-N,"InChI=1S/C41H54O19/c1-19-37(8,57-19)33(48)56-31-29(53-20(2)42)32(55-22(4)44)41-39(49,17-28(47)51-11)35(6,30(54-21(3)43)23-12-13-52-18-23)15-25(45)40(41)36(7)24(14-27(46)50-10)34(31,5)16-26(36)58-38(9,59-40)60-41/h12-13,18-19,24-26,29-32,45,49H,14-17H2,1-11H3/t19?,24-,25+,26?,29-,30+,31+,32+,34+,35-,36+,37?,38?,39-,40-,41-/m0/s1",NA,NA,NA,NA,NANPDB=NANPDB_2971,OSZKLCHRZDFWDF-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1159,384.0692857,14-Acetoxygelselegine;(-)-14-Acetoxygelselegine__2,2,1374.753414,416.1934,C22H28N2O6,VQXULUHGFUBIAD-SSDZJBRNNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00041243 __ UNPD=UNPD128180,VQXULUHGFUBIAD-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1160,383.034,LSM-9447,2,2523.992386,408.2156,C23H28N4O3,JAONLNNFEYMMMA-RKWMHMJSNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:98068,ChEBI=CHEBI:98068;CHEBI:100135,JAONLNNFEYMMMA-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1161,384.3678571,Dihydrobotrydialone,2,2201.868017,326.172,C17H26O6,JKAYIDYCQPINOJ-SWCSMBRANA-N,NA,NA,NA,NA,NA,KNApSAcK=C00046720 __ UNPD=UNPD121735,JKAYIDYCQPINOJ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1162,383.7957143,C16H59N26O30P,3,868.3818976,1126.3626,C16H59N26O30P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1163,383.1022857,Dulciol C,2,3328.71286,482.2258,C28H34O7,AIKCUENREJQMNO-UHFFFAOYSA-N,"InChI=1S/C28H34O7/c1-8-27(4,5)17-13-18(29)26-20(23(17)32)24(33)19-15(11-12-28(6,7)34)21(30)22(31)16(25(19)35-26)10-9-14(2)3/h8-9,13,29-32,34H,1,10-12H2,2-7H3",http://www.hmdb.ca/metabolites/HMDB0029991,NA,NA,NA,"Dulciol C __ 7-(1,1-dimethylallyl)-2,3,5,8-tetrahydroxy-1-(3-hydroxy-3-methyl-butyl)-4-(3-methylbut-2-enyl)xanthone __ 7-(1,1-dimethylallyl)-2,3,5,8-tetrahydroxy-1-(3-hydroxy-3-methyl-butyl)-4-(3-methylbut-2-enyl)xanthen-9-one __ 2,3,5,8-tetrahydroxy-1-(3-hydroxy-3-methylbutyl)-7-(2-methylbut-3-en-2-yl)-4-(3-methylbut-2-enyl)xanthen-9-one __ 2,3,5,8-tetrahydroxy-1-(3-hydroxy-3-methylbutyl)-7-(2-methylbut-3-en-2-yl)-4-(3-methylbut-2-enyl)-9-xanthenone __ 7-(2-methylbut-3-en-2-yl)-4-(3-methylbut-2-enyl)-1-(3-methyl-3-oxidanyl-butyl)-2,3,5,8-tetrakis(oxidanyl)xanthen-9-one",AIKCUENREJQMNO-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,8-prenylated xanthones,This compound belongs to the class of organic compounds known as 8-prenylated xanthones. These are organic compounds containing a C5-isoprenoid group linked to a xanthone moiety at the 8-position. Xanthone is a tricyclic compound made up of two benzene rings linearly fused to each other through a pyran ring that carries a ketone group.
C1164,387.45,jasmolin I,2,3214.358157,330.216,C21H30O3,NZKIRHFOLVYKFT-VUMXUWRFSA-N,NA,NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPR0102060004,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39113,"jasmolin I __ Jasmolin I __ [(1S)-2-methyl-4-oxo-3-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl] (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate __ [(1S)-2-methyl-4-oxo-3-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl] (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate __ (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylic acid [(1S)-4-keto-2-methyl-3-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl] ester __ [(1S)-2-methyl-4-oxidanylidene-3-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl] (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate __ (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)-1-cyclopropanecarboxylic acid [(1S)-2-methyl-4-oxo-3-[(Z)-pent-2-enyl]-1-cyclopent-2-enyl] ester",NZKIRHFOLVYKFT-VUMXUWRFSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Pyrethrins,This compound belongs to the class of organic compounds known as pyrethrins. These are pyrethroids with a structure based on a skeleton that is characterized by the presence of a chrysanthemic acid esterified with a cyclopentenone derivative.
C1165,388.0935714,C19H68N33O17PS3,3,1077.103517,1157.4369,C19H68N33O17PS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1166,386.4002857,N-methylmesoporphyrin,2,2539.592514,580.2962,C35H40N4O4,YNWHQWMCLCANDI-YIYRCNGCSA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:44085,ChEBI=CHEBI:44085 __ DrugBank=DB01911,YNWHQWMCLCANDI-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1167,366.5188571,C39H51NO16,3,2002.630866,789.3159,C39H51NO16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1168,364.7015714,"2-amino-1-[2-(4-morpholinyl)ethyl]-N-prop-2-enyl-3-pyrrolo[3,2-b]quinoxalinecarboxamide",2,2679.946671,380.1914,C20H24N6O2,ZSIXUEIWVDVPSR-UHFFFAOYSA-N,"InChI=1S/C20H24N6O2/c1-2-7-22-20(27)16-17-19(24-15-6-4-3-5-14(15)23-17)26(18(16)21)9-8-25-10-12-28-13-11-25/h2-6H,1,7-13,21H2,(H,22,27)",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:105093,"N-allyl-2-amino-1-(2-morpholinoethyl)pyrrolo[3,2-b]quinoxaline-3-carboxamide __ 2-amino-1-(2-morpholin-4-ylethyl)-N-prop-2-enylpyrrolo[3,2-b]quinoxaline-3-carboxamide __ 2-amino-1-[2-(4-morpholinyl)ethyl]-N-prop-2-enyl-3-pyrrolo[3,2-b]quinoxalinecarboxamide __ 2-azanyl-1-(2-morpholin-4-ylethyl)-N-prop-2-enyl-pyrrolo[3,2-b]quinoxaline-3-carboxamide",ZSIXUEIWVDVPSR-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinoxalines,"This compound belongs to the class of organic compounds known as quinoxalines. These are compounds containing a quinoxaline moiety, a bicyclic heterocycle made up of a benzene ring fused to a pyrazine ring."
C1169,361.3872857,Omega-Carboxy-trinor-leukotriene B4,2,3447.31616,338.181,C18H26O6,XWRIIHRGMKHPHN-LLVPEOCGSA-N,"InChI=1S/C18H26O6/c19-15(11-6-3-7-13-17(21)22)9-4-1-2-5-10-16(20)12-8-14-18(23)24/h1-6,9-10,15-16,19-20H,7-8,11-14H2,(H,21,22)(H,23,24)/b2-1+,6-3-,9-4+,10-5-/t15-,16+/m1/s1",http://www.hmdb.ca/metabolites/HMDB0013032,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMFA05000593,https://pubchem.ncbi.nlm.nih.gov/compound/6438938#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63980,"omega-COOH-dinor-LTB(,4) __ Omega-Carboxy-trinor-leukotriene B4 __ 7R,14S-dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioate __ 7R,14S-dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioic acid __ 7R,14S-dihydroxy-1,18-octadec-4,12Z,8,10E-tetraendioic acid anion __ (4Z,7S,8E,10E,12Z,14R)-7,14-dihydroxyoctadeca-4,8,10,12-tetraenedioic acid __ (4Z,7S,8E,10E,12Z,14R)-7,14-bis(oxidanyl)octadeca-4,8,10,12-tetraenedioic acid",XWRIIHRGMKHPHN-LLVPEOCGSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,This compound belongs to the class of organic compounds known as long-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.
C1170,362.0595714,UNPD46772,2,1108.842251,938.416,C46H66O20,GASDEGHQVQRIHM-HDJITTJZNA-N,NA,NA,NA,NA,NA,UNPD=UNPD46772;UNPD58627,GASDEGHQVQRIHM-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1171,361.8202857,C29H41N6O18P,3,1000.667373,792.2179,C29H41N6O18P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1172,362.4832857,C20H60N12O14P4S2,3,1288.99476,880.2742,C20H60N12O14P4S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1173,358.6738571,C34H51N5O20,3,1765.999769,849.3182,C34H51N5O20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1174,358.5578571,"8-[1-(1,3-benzodioxol-5-yl)-3-(4-phenyl-1-piperazinyl)propyl]-5,7-dimethoxy-4-methyl-1-benzopyran-2-one__1",2,2870.767285,542.2412,C32H34N2O6,RUGOEWKUIVRDKO-UHFFFAOYNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:123421,ChEBI=CHEBI:123421,RUGOEWKUIVRDKO-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1175,356.9888571,C32H55N3O19P2,3,2070.322219,847.2852,C32H55N3O19P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1176,357.6224286,Hymenoside G;(-)-Hymenoside G,2,1778.408887,730.2046,C35H38O17,QVEDTXIAUHAOKD-JVMAZYGJNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00033033 __ UNPD=UNPD108102,QVEDTXIAUHAOKD-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1177,357.4315714,C16H48N22O11P2,3,2519.096839,786.3346,C16H48N22O11P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1178,356.3738571,C33H42O13,3,1883.151458,646.2668,C33H42O13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1179,357.5804286,Domoic acid,2,1948.710253,311.1424,C15H21NO6,VZFRNCSOCOPNDB-VOGDQUTBNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0033939,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34727,HMDB=HMDB0033939 __ KNApSAcK=C00034487;C00050914 __ ChEBI=CHEBI:34727 __ DrugBank=DB02852 __ T3DB=T3D4040 __ FooDB=FDB012146;FDB017957;FDB017958;FDB017959 __ STOFF=STOFF_8436 __ UNPD=UNPD118058;UNPD132480;UNPD29700;UNPD53094;UNPD6540;UNPD68314;UNPD95433,VZFRNCSOCOPNDB-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1180,356.0642857,Calonectrin,2,3948.110499,350.1777,C19H26O6,IGDIDZAQDRAJRB-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0034915,NA,https://pubchem.ncbi.nlm.nih.gov/compound/538469#section=Top,NA,HMDB=HMDB0034915 __ KNApSAcK=C00012631 __ FooDB=FDB013498 __ PubChem=538469 __ UNPD=UNPD207742,IGDIDZAQDRAJRB-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1181,350.7244286,Quercetin 3-(6''-caffeoylsophoroside),2,592.7085868,788.1759,C36H36O20,MNQXYDTZVQQBJH-FRDUKRLMNA-N,NA,NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPK12110575,NA,NA,KNApSAcK=C00013877 __ NANPDB=NANPDB_1309 __ LipidMAPS=LMPK12110575 __ UNPD=UNPD91806,MNQXYDTZVQQBJH-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1182,351.1617143,Xyloccensin O,2,1872.91015,700.2345,C35H40O15,OPGFYBVPXMGZOY-PWOIKGNKNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00048236,OPGFYBVPXMGZOY-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1183,349.8064286,UNPD14846,2,2232.710026,616.2958,C34H40N4O7,VLLKKVHMQBTCKA-FDNNIMIINA-N,NA,NA,NA,NA,NA,UNPD=UNPD14846;UNPD208478;UNPD211694,VLLKKVHMQBTCKA-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1184,352.9532857,C5O5P2S4,3,174.8310104,329.8066,C5O5P2S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1185,351.6551429,C23H41N5O11,3,2249.487094,563.2858,C23H41N5O11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1186,351.629,UNPD113908,2,2261.179786,562.2344,C31H34N2O8,CLCDMQIWPVOTMQ-SRGZXTGVNA-N,NA,NA,NA,NA,NA,UNPD=UNPD113908,CLCDMQIWPVOTMQ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1187,351.222,"(1R)-1'-(benzenesulfonyl)-1-(hydroxymethyl)-7-methoxy-9-methyl-N-propyl-2-spiro[1,3-dihydropyrido[3,4-b]indole-4,4'-piperidine]carboxamide",2,3427.34175,540.2474,C28H36N4O5S,MKPFNOFVGQTMAY-FQKVKQEKNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:125789,ChEBI=CHEBI:125789;CHEBI:127552,MKPFNOFVGQTMAY-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1188,168.2707143,Mono-trans-p-coumaroylmesotartaric acid,2,3493.03259,310.0689,C14H14O8,WZHTXSWUIFRTCQ-ZZXKWVIFNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0029783,NA,NA,NA,HMDB=HMDB0029783 __ FooDB=FDB013138,WZHTXSWUIFRTCQ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C1189,168.3537143,C22H28N2O7S3__1,3,2373.538471,528.1091,C22H28N2O7S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1190,169.175,C13H37N7O15P4S,3,2502.260571,687.1016,C13H37N7O15P4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1191,166.0411429,L-Glutamine,2,2800.786162,146.073,C5H10N2O3,ZDXPYRJPNDTMRX-VKHMYHEASA-N,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",http://www.hmdb.ca/metabolites/HMDB0000641,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17061,"gln __ GSH __ GGL __ glum __ L-gln __ Glumin __ glumin __ Cebrogen __ Glavamin __ Glutamine __ Stimulina __ glutamine __ proglumide __ L-glutamin __ L-glutamid __ L-Glutamine __ Glutathione __ L-glutamide __ L-glutamine __ Levoglutamid __ Levoglutamina __ Polyglutamine __ Levoglutamide __ Levoglutamida __ Levoglutamidum __ gamma-glutamine __ Nutrestore (TN) __ Glutamine (USP) __ L-(+)-glutamine __ L-Glutamine (JP16) __ Glutamic acid amide __ Glutamic acid 5-amide __ Gamma-L-Glutamic Acid __ glutamic acid 5-amide __ 2-Aminoglutaramic acid __ 2-aminoglutaramic acid __ L-Glutaminsaeure-5-amid __ L-Glutamic acid 5-amide __ L-2-Aminoglutaramic acid __ L-2-Aminoglutaramidic acid __ L-glutamic acid gamma-amide __ (S)-2,5-Diamino-5-oxopentanoate __ (2S)-2,5-diamino-5-oxopentanoate __ (2S)-2-amino-4-carbamoylbutanoate __ (S)-2,5-Diamino-5-oxopentanoic acid __ (2S)-2,5-diamino-5-keto-valeric acid __ (2S)-2,5-diamino-5-oxopentanoic acid __ (2S)-2-amino-4-carbamoylbutanoic acid __ (2S)-2,5-diamino-5-oxo-pentanoic acid __ (2S)-5-amino-2-ammonio-5-oxopentanoate __ (2S)-5-amino-2-ammonio-5-keto-valerate __ (2S)-5-amino-2-azaniumyl-5-oxopentanoate __ (2S)-5-amino-2-azaniumyl-5-oxo-pentanoate __ (2S)-2,5-bis(azanyl)-5-oxidanylidene-pentanoic acid __ (2S)-2-azaniumyl-5-azanyl-5-oxidanylidene-pentanoate",ZDXPYRJPNDTMRX-VKHMYHEASA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.
C1192,183.319,C21H34N6O13S2,3,1800.628905,642.1614,C21H34N6O13S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1193,172.2358571,UNPD29906,2,1127.238298,395.0966,C21H17NO7,QUIONHAMCPPZRR-YWNVXTCZSA-N,"InChI=1S/C21H17NO7/c23-15(24)11-22-20(25)16(13-7-3-1-4-8-13)18-19(29-12-28-18)17(21(26)27)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,22,25)(H,23,24)(H,26,27)/b18-16+,19-17+",NA,NA,NA,NA,"UNPD29906 __ (2E)-2-[(5E)-5-[2-(carboxymethylamino)-2-oxo-1-phenylethylidene]-1,3-dioxolan-4-ylidene]-2-phenylacetic acid __ (2E)-2-[(5E)-5-[2-(carboxymethylamino)-2-oxo-1-phenyl-ethylidene]-1,3-dioxolan-4-ylidene]-2-phenyl-acetic acid __ (2E)-2-[(5E)-5-[2-(carboxymethylamino)-2-keto-1-phenyl-ethylidene]-1,3-dioxolan-4-ylidene]-2-phenyl-acetic acid __ (2E)-2-[(5E)-5-[2-(2-hydroxy-2-oxoethylamino)-2-oxidanylidene-1-phenyl-ethylidene]-1,3-dioxolan-4-ylidene]-2-phenyl-ethanoic acid",QUIONHAMCPPZRR-YWNVXTCZSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,This compound belongs to the class of organic compounds known as n-acyl-alpha amino acids. These are compounds containing an alpha amino acid which bears an acyl group at its terminal nitrogen atom.
C1194,176.1292857,2-Methoxy-4-vinylphenol,2,1691.932582,150.0691,C9H10O2,YOMSJEATGXXYPX-UHFFFAOYSA-N,"InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3",http://www.hmdb.ca/metabolites/HMDB0013744,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:42438,4M4 __ 4-Vinylguaiacol __ 4-vinylguaiacol __ 2-Methoxy-4-vinylphenol __ 2-Methoxy-4-Vinylphenol __ 2-Methoxy-4-Vinyl-Phenol __ 2-methoxy-4-vinyl-phenol __ 4-ethenyl-2-methoxyphenol __ 4-ethenyl-2-methoxy-phenol __ 4-hydroxy-3-methoxystyrene __ 2-Methoxy-4-[(1e)-Prop-1-En-1-Yl]phenol,YOMSJEATGXXYPX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,This compound belongs to the class of organic compounds known as methoxyphenols. These are compounds containing a methoxy group attached to the benzene ring of a phenol moiety.
